"study_id","status","n_spec","sec","msg"
"physiofeedback_PMC12821712","ok",496,13.8,""
"mulligan_PMC13092435","ok",486,16.6,""
"lytras_fms_PMC12942207","ok",486,16.9,""
"lymfit_PMC11171874","ok",864,27.5,""
"clusterset_PMC13140343","ok",192,6.8,""
"tereco_PMC8318721","ok",1332,40.4,""
"spadi_PMC4880881","ok",702,21,""
"tscs_PMC13085461","ok",864,27.2,""
"tdcs_PMC13257960","ok",864,27.4,""
"etip_PMC6886967","ok",234,7.1,""
"phosphatidic_PMC4891923","ok",576,16.6,""
"facial_PMC11164989","ok",1998,60.3,""
"gainingmore_PMC10809978","ok",864,96.5,""
"etre_PMC11945196","ok",96,2.9,""
"aquatic_PMC12111718","ok",864,29.8,""
"lengthpartial_PMC11829627","ok",576,18.4,""
"creatine_PMC11944689","ok",1998,74.4,""
"free_PMC6733445","ok",1824,36.1,""
"odinet_PMC8830646","ok",222,7.4,""
"pregnancy12w_PMC4573757","ok",1998,68.6,""
"mallorca_PMC8198819","ok",702,23.6,""
