"node","share","study_id","grid_type"
"covars",52.5895286105,"physiofeedback_PMC12821712","principled"
"outlier",47.4083198857907,"physiofeedback_PMC12821712","principled"
"model",0.0021515037093229,"physiofeedback_PMC12821712","principled"
"inference",0,"physiofeedback_PMC12821712","principled"
"baseline",86.1159475832786,"mulligan_PMC13092435","principled"
"covars",13.8840524167214,"mulligan_PMC13092435","principled"
"outlier",0,"mulligan_PMC13092435","principled"
"inference",0,"mulligan_PMC13092435","principled"
"baseline",98.2047682467445,"lytras_fms_PMC12942207","principled"
"covars",1.79523175325545,"lytras_fms_PMC12942207","principled"
"outlier",0,"lytras_fms_PMC12942207","principled"
"inference",0,"lytras_fms_PMC12942207","principled"
"baseline",2.41684706806235,"lymfit_PMC11171874","principled"
"covars",97.5831529319376,"lymfit_PMC11171874","principled"
"outlier",0,"lymfit_PMC11171874","principled"
"inference",0,"lymfit_PMC11171874","principled"
"covars",100,"clusterset_PMC13140343","principled"
"outlier",5.94295590238302e-29,"clusterset_PMC13140343","principled"
"inference",3.96197060158868e-29,"clusterset_PMC13140343","principled"
"baseline",99.2577330817603,"tereco_PMC8318721","principled"
"covars",0,"tereco_PMC8318721","principled"
"outlier",0.742266918239681,"tereco_PMC8318721","principled"
"inference",0,"tereco_PMC8318721","principled"
"baseline",99.9514529740555,"spadi_PMC4880881","principled"
"covars",0,"spadi_PMC4880881","principled"
"outlier",0.0485470259445038,"spadi_PMC4880881","principled"
"inference",0,"spadi_PMC4880881","principled"
"baseline",98.528143513347,"tscs_PMC13085461","principled"
"covars",1.47185648665298,"tscs_PMC13085461","principled"
"outlier",0,"tscs_PMC13085461","principled"
"inference",0,"tscs_PMC13085461","principled"
"baseline",93.4844498094164,"tdcs_PMC13257960","principled"
"covars",0.193346909591725,"tdcs_PMC13257960","principled"
"outlier",6.32220328099187,"tdcs_PMC13257960","principled"
"inference",0,"tdcs_PMC13257960","principled"
"covars",99.2138700942864,"etip_PMC6886967","principled"
"outlier",0.786129905713596,"etip_PMC6886967","principled"
"inference",0,"etip_PMC6886967","principled"
"baseline",100,"phosphatidic_PMC4891923","principled"
"covars",3.34459772021517e-30,"phosphatidic_PMC4891923","principled"
"outlier",1.00337931606454e-29,"phosphatidic_PMC4891923","principled"
"inference",6.68919544043028e-30,"phosphatidic_PMC4891923","principled"
"baseline",73.1431988510328,"facial_PMC11164989","principled"
"covars",26.8568011489672,"facial_PMC11164989","principled"
"outlier",0,"facial_PMC11164989","principled"
"inference",0,"facial_PMC11164989","principled"
"baseline",92.0782491322769,"gainingmore_PMC10809978","principled"
"covars",7.92175086772308,"gainingmore_PMC10809978","principled"
"outlier",0,"gainingmore_PMC10809978","principled"
"inference",0,"gainingmore_PMC10809978","principled"
"outlier",60,"etre_PMC11945196","principled"
"inference",40,"etre_PMC11945196","principled"
"baseline",97.0127035516237,"aquatic_PMC12111718","principled"
"covars",2.98729644837631,"aquatic_PMC12111718","principled"
"outlier",0,"aquatic_PMC12111718","principled"
"inference",0,"aquatic_PMC12111718","principled"
"baseline",100,"lengthpartial_PMC11829627","principled"
"covars",1.56202953656007e-29,"lengthpartial_PMC11829627","principled"
"outlier",4.68608860968015e-29,"lengthpartial_PMC11829627","principled"
"inference",3.1240590731201e-29,"lengthpartial_PMC11829627","principled"
"baseline",90.5179404301337,"creatine_PMC11944689","principled"
"covars",9.48205956986632,"creatine_PMC11944689","principled"
"outlier",0,"creatine_PMC11944689","principled"
"inference",0,"creatine_PMC11944689","principled"
"baseline",41.8245835138904,"free_PMC6733445","principled"
"covars",0,"free_PMC6733445","principled"
"outlier",55.7042092099925,"free_PMC6733445","principled"
