study_id,data_file,sheet,id_var,arm_var,arm_include,arm_control,outcome_var,baseline_var,time_var,primary_time,covars_published,strat_vars,cluster_vars,report_type,field,population,primary_declared,notes
physiofeedback_PMC12821712,studies/2026_effect-of-a-physio-feedback-exercise-interventio_PMC12821712/deposit/deidentified data.xlsx,,SubjectID,Group,,Control,AP_RMS,,Time,4,"Age,BMI,Gender,Race",,Site,secondary,exercise_physiology,healthy,abstract,Explorative Sekundaeranalyse; AP RMS erstgenannt; publiziert auf Log-Skala; Langformat 4 Zeitpunkte
mulligan_PMC13092435,studies/2026_comparison-of-the-short-term-effects-of-mulligan_PMC13092435/deposit/Kiouloukiotis data.sav,,ParticipantNumber,TreatmentGroup,"1,3",3,NPRS2,NPRS1,,,,,,primary,physiotherapy_rehabilitation,patients,abstract,"KORRIGIERT: Kontrolle = 3 (Home Exercise), Kontrast Mulligan (1) vs Kontrolle; keine Kovariaten im publizierten Modell"
lytras_fms_PMC12942207,studies/2026_short-term-effects-of-manual-therapy-combined-wi_PMC12942207/deposit/Lytras FMS 1 data.sav,,,GROUP,,2,NRPSLBPpost,NRPSLBPpre,,,,,,primary,physiotherapy_rehabilitation,patients,registration,KORRIGIERT: Kontrolle = 2 (Manual Therapy allein); NPRS lumbal erstes von 4 koprimaeren laut Registrierung; keine Kovariaten
clusterset_PMC13140343,studies/2026_acute-responses-and-chronic-adaptations-to-clust_PMC13140343/deposit/data.xlsx,,ID,Group,,TS,1RM,,Time,post,Sex,,,primary,exercise_physiology,healthy,methods_first_named,"KORRIGIERT: Outcome 1RM Kniebeuge (Fallzahlplanung), nicht CMJ; Langformat pre/post"
tereco_PMC8318721,studies/2022_a-telerehabilitation-programme-in-post-discharge_PMC8318721/deposit/TERECO_Public_Data_wide.csv,,,group_randomized,,2,X_6MWD2,X_6MWD1,,,,center,,primary,physiotherapy_rehabilitation,survivors,methods_first_named,"KORRIGIERT: Kontrolle = 2; Zentrum als Stratifizierungsfaktor; 7 fehlend post, alle im TERECO-Arm"
spadi_PMC4880881,studies/2016_adhesive-capsulitis-of-the-shoulder-treatment-wi_PMC4880881/deposit/Frozen shoulder RCTgr dataset 100516_art2_1.sav,,,Group,"1,3",3,SPADI8wks,SPADItotPre,,,,,,primary,other,patients,methods_first_named,"KORRIGIERT: Kontrolle = TAU = 3, Kontrast IS (1) vs TAU; Paper poolt 4+8 Wochen, hier 8 Wochen als Ende des Kurzzeitfensters; Steroidinjektion, kein Physio-Kontext"
tscs_PMC13085461,studies/2026_transcutaneous-spinal-cord-stimulation-combined_PMC13085461/deposit/iEMG _1_ 2.0.sav,,ID,Group,,2,BBS_Post,BBS_Pre,,,,,,primary,physiotherapy_rehabilitation,patients,abstract,"KORRIGIERT: Kontrolle = 2 (CPT+tSCS, n=7); BBS erstes von zwei koprimaeren; keine Kovariaten ausser Baseline"
tdcs_PMC13257960,studies/2026_integrating-multi-session-transcranial-direct-cu_PMC13257960/deposit/tDCS.sav,,,group,,2,CAR_post_all,CAR_pre_all,,,,,,primary,neuromodulation,patients,methods_first_named,KORRIGIERT: Kontrolle = 2 (Sham); CAR erstes von zwei koprimaeren; keine Kovariaten
etip_PMC6886967,studies/2019_effects-of-supervised-exercise-training-during-p_PMC6886967/deposit/ETIP_Mental_Health_in_obese_pregancies.sav,,ID,Group,,2,Post_PGWB,Pre_PGWB_index,,,,,,secondary,exercise_physiology,pregnant,abstract,"KORRIGIERT: Outcome PGWBI spaete Schwangerschaft mit Baseline, nicht EPDS; Kontrolle = 2; Sekundaeranalyse des ETIP-Trials"
phosphatidic_PMC4891923,studies/2016_the-effects-of-phosphatidic-acid-supplementation_PMC4891923/deposit/Maxxtor male stats 8-12-15.xlsx,,ID,Group,,2,LBM2,LBM1,,,,,,primary,sports_nutrition,healthy,abstract,"KORRIGIERT: Kontrolle = 2 (Placebo, n=10); keine Kovariaten; 9 gleichrangige Outcomes ohne Hierarchie"
facial_PMC11164989,studies/2024_effectiveness-of-novel-facial-stretching-with-st_PMC11164989/deposit/Data sheet.xlsx,,Serial number,Group,,2,T3,T1,,,,,,primary,physiotherapy_rehabilitation,patients,methods_first_named,"KORRIGIERT: Outcome SFGS-Composite Tag 20 (T3) mit Baseline T1, nicht VM Tag 10; Kontrolle = 2"
gainingmore_PMC10809978,studies/2024_gaining-more-from-doing-less-the-effects-of-a-on_PMC10809978/deposit/Dataset Deload.xlsx,,CODE,GROUP,,2,RF50Post,RF50Pre,,,,,,primary,exercise_physiology,healthy,abstract,KORRIGIERT: Kontrolle = 2 (TRAD); keine Kovariaten; RF50 eine von 9 gleichrangigen Stellen
etre_PMC11945196,studies/2025_early-time-restricted-eating-improves-weight-los_PMC11945196/deposit/Body data.csv,,Participant.ID,Group,"Control,eTRE",Control,Weight,,Time,post,,,,primary,sports_nutrition,healthy,abstract,3 Arme; Kontrast Control gegen eTRE ist im Paper direkt berichtet; Koerpergewicht erstes von drei koprimaeren
creatine_PMC11944689,studies/2025_the-effect-of-creatine-supplementation-on-lean-b_PMC11944689/deposit/Desai-Data-LBM.xlsx,Data,record_id,group,,Control,dxa_leanmass_kg_post_1,dxa_leanmass_kg_pre,,,,,,primary,sports_nutrition,healthy,abstract,KORRIGIERT: Ganzkoerper-LBM liegt in Desai-Data-LBM.xlsx; T1-T2 (Wash-in) als erstberichteter Kontrast; keine Kovariaten ausser Baseline
