pmcid,pmid,doi,year,journal,title,is_rct,n_code,n_data,code_urls,data_urls,on_request_only,das
PMC13007879,41878061,10.1093/jbmrpl/ziag025,2026,JBMR Plus,Open and reproducible research in musculoskeletal imaging: why it matters and how to implement it with the guidelines of the Open and Reproducible Musculoskeletal Imaging Research (ORMIR) co,False,2,3,github.com/en/pages | github.com/en/repositories,doi.org/10.5281/zenodo.17206440 | figshare.com/user-guide/how-to-connect-figshare-with-your-github-account/ | osf.io/syr4z,False,Data Availability Statement No data were generated or analyzed in this paper.
PMC13219765,41957392,10.1038/s41598-026-46419-8,2026,Sci Rep,Exploring the effect of different neural strategies on the knee joint contact forces during walking in adults,False,3,1,github.com/giorgiod89/protoagingmcmc | github.com/hansunivie/musclecoordinationretraining | github.com/stanfordnmbl/matlabstaticoptimization,doi.org/10.5281/zenodo.15100077,False,"Data Availability Statement The input data and models used to perform the Monte Carlo simulations are available at: ( https://github.com/GiorgioD89/ProtoAgingMCMC ). The experimental data associated to this work, and collected as part of the ProtoAging study 48 , are stored on Zenodo and may be made available upon reasonable requests to the author: ( https://doi.org/10.5281/zenodo.15100077 ) (Proto-Aging data collection). The Monte Carlo simulations implementing the unconstrained and EMG-constrained Static Optimization are based on the codes by Uhlrich et al. 9 and Kainz et al. 23 , which can be found at the following links: https://github.com/stanfordnmbl/MatlabStaticOptimization and https://github.com/HansUniVie/MuscleCoordinationRetraining . Additional scripts hereby employed to analyse the results are available at: https://github.com/GiorgioD89/ProtoAgingMCMC ."
PMC12908669,41704478,10.1093/jbmrpl/ziag013,2026,JBMR Plus,ORMIR-MIDS: an open standard for curating and sharing musculoskeletal imaging data,False,4,2,github.com/bammri/myoqmri | github.com/bammri/pulseq-4dflow | github.com/orgs/ormir-mids | github.com/pyvoxel/pyvoxel,doi.org/10.5281/zenodo.17980939 | doi.org/10.5281/zenodo.17980944,False,Data Availability Statement The version of the ORMIR-MIDS specification website at the time of submission is accessible at the following immutable URL: https://doi.org/10.5281/zenodo.17980944 . The version of the ORMIR-MIDS Python package at the time of submission (v0.1.3) is accessible at the following immutable URL: https://doi.org/10.5281/zenodo.17980939
PMC13089899,41996486,10.1371/journal.pdig.0001248,2026,PLOS Digit Health,Leveraging deep learning to infer continuous predictions from ordinal labels in medical imaging,False,1,1,github.com/andreanne-lemay/gray_zone_assessment,zenodo.org/records/16586250,False,"This study utilized three datasets: the Retinopathy of Prematurity (ROP) dataset, the Multicenter Osteoarthritis Study (MOST), and the Digital Mammographic Imaging Screening Trial (DMIST) dataset. Due to restrictions related to participant consent and data usage agreements, the full ROP and DMIST datasets cannot be publicly shared. However, a curated subset of 100 ROP images, along with corresponding expert ratings and continuous scores, is available via Zenodo https://zenodo.org/records/16586250?token=eyJhbGciOiJIUzUxMiJ9.eyJpZCI6IjAzODQ0ZGYxLTQ2NTItNDdhNC1hMThkLTMxZGRhOWMxYmNjNyIsImRhdGEiOnt9LCJyYW5kb20iOiI3MWM1MjViMDc0MzU0ZjE3NGFmYmVkYWE3MjM2ODM0MSJ9.keCF5_uJ6qJVzsKLYKHd_Wp0dVzmQTgM_9MyO86owgRJgVH2jECCRqR_bm7-eiMUwX6WhXeaiDHgJ9ZcXFcS2g . In addition, internal ranking scores for a subset of 100 MOST knee X-rays used in this study are provided under the same Zenodo link. MOST is a publi"
PMC13081436,41792743,10.1186/s12984-026-01904-z,2026,J Neuroeng Rehabil,The feasibility of using deep learning technologies to preliminarily identify patients with advanced knee osteoarthritis via smartphone videos,False,1,1,github.com/harry-miral/preliminaryscreeningofkneeosteoarthritis,osf.io/5yg2d,False,Data availability The original video datasets used in this study are not accessible to the public due to valid privacy and security concerns. The original video files of the participants cannot be freely shared with researchers who are not involved in permitted study collaborations with the specified medical institutes. The de-identified spatiotemporal information obtained from our study are accessible at: https://osf.io/5yg2d/files/osfstorage.
PMC13175353,42133587,10.1371/journal.pmed.1005063,2026,PLoS Med,First-trimester nonsteroidal anti-inflammatory drugs exposure and risk of major congenital malformations: A retrospective register-based cohort study,False,1,1,github.com/arielhasidim/nsaids-major-malformations-2026,doi.org/10.5281/zenodo.19043980,False,"Data Availability Statement The individual-level data underlying this study contain potentially identifiable health information and cannot be shared publicly due to ethical, legal, and institutional restrictions. De-identified data may be made available to qualified researchers upon reasonable request, subject to approval by the Soroka University Medical Center Institutional Review Board (IRB) and in accordance with institutional data access policies. Requests for data access should be directed to the Soroka University Medical Center IRB ( CarolinaHv@clalit.org.il , shakedbu@clalit.org.il ). The authors do not have special access privileges to these data, and external researchers may obtain access under the same conditions. The code used for the analyses is publicly available on GitHub at: https://github.com/arielhasidim/nsaids-major-malformations-2026 and archived in Zenodo [ https://do"
PMC13282115,42318877,10.7554/elife.108684,2026,Elife,Multi-timescale neural adaptation underlying long-term musculoskeletal reorganization,False,1,1,github.com/animalmodel/philipp_elife_2025,doi.org/10.5281/zenodo.18030926,False,"Data Availability Statement All data and custom MATLAB code used to generate the figures in this study are available at the GitHub repository: https://github.com/animalmodel/Philipp_eLife_2025 (copy archived at Philipp and Kosugi, 2026 ). For long-term preservation, the code and dataset (including large EMG and Synergy matrices) have been archived at Zenodo (DOI: https://doi.org/10.5281/zenodo.18030926 ). The following dataset was generated: Philipp R, Kosugi AK. 2026. animalmodel/Philipp_eLife_2025: Code and data completion. Zenodo."
PMC13029800,41838666,10.1371/journal.pcbi.1014073,2026,PLoS Comput Biol,Do we need medical imaging-informed musculoskeletal models for simulations in healthy adults? A new workflow based on magnetic resonance imaging highlights the importance of personalized geo,False,2,1,github.com/katya-stanzy/thin-plate-spline_personalised_muscoloskeletal_model | github.com/pyvista/pyvista,osf.io/qanvw,False,"Data Availability Statement Code, models and motion capture data are available at https://github.com/katya-stanzy/thin-plate-spline_personalised_muscoloskeletal_model . Raw data required to replicate the results are available at https://doi.org/10.17605/OSF.IO/QANVW ."
PMC13079751,41786802,10.1038/s41597-026-06976-z,2026,Sci Data,A validated Mandarin Chinese Auditory Emotion Database of Subject-Personal-Pronoun Sentences (MCAE-SPPS),False,1,1,github.com/cheyneycomputerscience/crema-d,osf.io/9jyzc,False,"Data availability The corpus audio files, metadata, and corresponding rating data are publicly available on the Open Science Framework (OSF) at 10.17605/OSF.IO/9JYZC (View-only link: https://osf.io/9jyzc/overview?view_only=088ce4e15a914b939c8bb6bd119c7226 ). The repository includes the full set of validated audio recordings, rater demographic information, and comprehensive metadata files describing emotion labels, recognition accuracy, perceived intensity ratings, sentence content, and extracted acoustic features."
PMC12937090,41744293,10.1002/jev2.70244,2026,J Extracell Vesicles,Varying Influence of Menstrual Cycle Phase and Hormonal Contraceptive Use on Resistance Exercise-Induced Circulating Extracellular Vesicle and Metabolite Signalling,False,1,1,github.com/xia-lab/metaboanalystr,figshare.com/s/20d4587388d5efdf99f1,False,Data Availability Statement Supplemental files and figures are available via figshare (Figures: https://doi.org/10.6084/m9.figshare.28877567; Files: https://figshare.com/s/20d4587388d5efdf99f1; Folder: https://doi.org/10.6084/m9.figshare.28877531 ) and further data may available upon request to the corresponding author.
