pmcid,pmid,doi,year,journal,title,is_rct,pub_types,n_code,n_data,code_urls,data_urls,on_request_only,das
PMC9645607,36350802,10.1371/journal.pone.0276734,2022,PloS one,"The effect of mindfulness on the inflammatory, psychological and biomechanical domains of adult patients with low back pain: A randomized controlled clinical trial",True,research-article Multicenter Study Randomized Controlled Trial Journal,1,1,github.com/nirakara-lab/rct_minfulness_chronic_back_pain,10.5281/zenodo.6793420,False,"The study database is available at GitHub: https://github.com/nirakara-lab/RCT_Minfulness_Chronic_Back_Pain . A DOI link has been created in zenodo: https://doi.org/10.5281/zenodo.6793420 . In the supplementary materials, the exercises and the study variables have been fully described. Additional information requests should be directed to the following institutional address: University Institute of Regenerative Medicine and Oral Implantology - UIRMI (UPV/EHU-Fundacion Eduardo Anitua) C/ José Maria Cagigal, 19, 01007 Vitoria, Spain. Tel.: +34 945160653. Fax.: +34 945 158 934. Email: virginia.cuadrado@bti-implant.es . The conducted research was not preregistered with an analysis plan in an independent, institutional registry. The study database is available at GitHub: https://github.com/nirakara-lab/RCT_Minfulness_Chronic_Back_Pain . A DOI link has been created in zenodo: https://doi.org/10.5281/zenodo.6793420 . In the supplementary materials, the exercises and the study variables have b"
PMC12671729,41329673,10.1371/journal.pone.0337177,2025,PloS one,Outdoor ground surface influences spatiotemporal parameters of walking for individuals undergoing rehabilitation: An observational study,False,research-article Journal Article Observational Study,1,1,github.com/regainlabunc/spatiotemporal-changes-across-terrains,osf.io/s3qye,False,All Excel files that include spatiotemporal data are available at the Open Science Framework database ( https://doi.org/10.17605/OSF.IO/S3QYE) . All R code files used for statistical analysis are available at the Recovery of Gait and Neuro Rehabilitation Lab Github database ( https://github.com/RegainLabUNC/SpatioTemporal-Changes-Across-Terrains) . All Excel files that include spatiotemporal data are available at the Open Science Framework database ( https://doi.org/10.17605/OSF.IO/S3QYE) . All R code files used for statistical analysis are available at the Recovery of Gait and Neuro Rehabilitation Lab Github database ( https://github.com/RegainLabUNC/SpatioTemporal-Changes-Across-Terrains) .
PMC12238753,40636812,10.1093/braincomms/fcaf255,2025,Brain communications,Transcutaneous electrical nerve stimulation enhances locomotor adaptation savings in people with multiple sclerosis,False,Clinical Trial research-article Journal Article,1,1,github.com/andyhagen11/transcutaneous-electrical-nerve-stimulation-enhances-locomotor-adaptation-savings-in-ms,osf.io/pgv37,False,Data Availability Statement The data that support the findings of this study are openly available in the Open Science Framework at https://osf.io/pgv37/ . The code used for the analyses in this study is available on GitHub at https://github.com/andyhagen11/Transcutaneous-electrical-nerve-stimulation-enhances-locomotor-adaptation-savings-in-MS . The data that support the findings of this study are openly available in the Open Science Framework at https://osf.io/pgv37/ . The code used for the analyses in this study is available on GitHub at https://github.com/andyhagen11/Transcutaneous-electrical-nerve-stimulation-enhances-locomotor-adaptation-savings-in-MS . The data that support the findings of this study are openly available in the Open Science Framework at https://osf.io/pgv37/ . The code used for the analyses in this study is available on GitHub at https://github.com/andyhagen11/Transcutaneous-electrical-nerve-stimulation-enhances-locomotor-adaptation-savings-in-MS .
PMC11831972,39963198,10.7717/peerj.18885,2025,PeerJ,"Change in exercise capacity, physical activity and motivation for physical activity at 12 months after a cardiac rehabilitation program in coronary heart disease patients: a prospective, monocentric a",False,research-article Journal Article Observational Study,1,2,github.com/pydemull/apaco,osf.io/fpcrv | osf.io/s2xwu,False,"Data Availability The following information was supplied regarding data availability: All the instructions and materials allowing the reproduction of the analyses and the results are available at GitHub and Open Science Framework: - https://github.com/pydemull/APACo - de Müllenheim, Pierre-Yves. 2024. “APA&amp;Co.” OSF. doi: 10.17605/OSF.IO/S2XWU . The Supplemental Files are also available at Open Science Framework: de Müllenheim, Pierre-Yves. 2024. “ Supplemental Materials .” OSF. doi: 10.17605/OSF.IO/FPCRV . The results of the study were obtained using several R packages: • Initial tasks of the data analysis workflow (import, tidy, and transform data): {tidyverse} ( Wickham et al., 2019 ); {tidyselect} ( Henry &amp; Wickham, 2024a ). • Figures: {ggplot2} ( Wickham, 2016 ), {Hmisc} ( Harrell, 2024 ), {patchwork} ( Lin Pedersen, 2024 ), {ggbeeswarm} ( Clarke, Sherrill-Mix &amp; Dawson, 2023 ), {ggrepel} ( Slowikowski, 2023 ), {rlang} ( Henry &amp; Wickham, 2024b ), {ragg} ( Lin Pederse"
PMC13141020,42055615,10.1136/bmjopen-2025-101558,2026,BMJ open,Anatomy of a failure: a retrospective evaluation of a cognitive bias modification intervention to promote physical activity in cardiac rehabilitation,True,research-article Randomized Controlled Trial Journal Article,0,1,,10.5281/zenodo.17292448,False,"Data Availability Statement Data are available in a public, open access repository. Data are available in a public, open access repository. Data are available in a public, open access repository. Deidentified data, data management, analysis codes and research materials have been made publicly available on Zenodo ( https://doi.org/10.5281/zenodo.17292448 ). 67"
PMC13092435,42016050,10.1142/s1013702526500058,2026,Hong Kong physiotherapy journal : official publication ,Comparison of the short-term effects of Mulligan and Maitland mobilisation techniques combined with home-based exercise for non-specific neck pain: A randomised controlled trial,True,research-article Journal Article,0,1,,10.5281/zenodo.15278572,False,"Data Availability Statement The data supporting the findings of this study are openly available in Zenodo at https://doi.org/10.5281/zenodo.15278572 , reference number 15278572. The data supporting the findings of this study are openly available in Zenodo at https://doi.org/10.5281/zenodo.15278572 , reference number 15278572."
PMC13063870,41787326,10.1186/s12877-026-07244-w,2026,BMC geriatrics,Out-of-home mobility enhancement by a physiotherapist-led motivational counselling intervention among rural community-dwelling older adults 75+: the MOBILE RCT,True,research-article Randomized Controlled Trial Journal Article,2,0,gitlab.com/arik.grahl/mobile-project-client | gitlab.com/arik.grahl/mobile-project-server,,False,Data Availability Statement Data collected in this study will be available upon reasonable request and stored at the institutional repository after the study is completed. Data will be in aggregated form (no GPS fixes) to secure the privacy of the study participants. The architecture of the app developed specifically for this study can be accessed via the following links: https://gitlab.com/arik.grahl/mobile-project-client and https://gitlab.com/arik.grahl/mobile-project-server . Data collected in this study will be available upon reasonable request and stored at the institutional repository after the study is completed. Data will be in aggregated form (no GPS fixes) to secure the privacy of the study participants. The architecture of the app developed specifically for this study can be accessed via the following links: https://gitlab.com/arik.grahl/mobile-project-client and https://gitlab.com/arik.grahl/mobile-project-server . Data collected in this study will be available upon reason
PMC12780320,41502043,10.1111/sms.70203,2026,Scandinavian journal of medicine & science in sports,Effects of Low-Load Blood-Flow Restriction Training Versus High-Load Resistance Training on Neuromuscular Performance and Neuromuscular Activation,True,research-article Randomized Controlled Trial Journal Article,0,1,,osf.io/fz38r,False,Data Availability Statement The anonymized dataset supporting the findings of this study is publicly available on the Open Science Framework at https://doi.org/10.17605/OSF.IO/FZ38R . Users are kindly asked to cite the dataset if used in any form. The anonymized dataset supporting the findings of this study is publicly available on the Open Science Framework at https://doi.org/10.17605/OSF.IO/FZ38R . Users are kindly asked to cite the dataset if used in any form. The anonymized dataset supporting the findings of this study is publicly available on the Open Science Framework at https://doi.org/10.17605/OSF.IO/FZ38R . Users are kindly asked to cite the dataset if used in any form.
PMC13144352,41862607,10.1038/s41598-026-44859-w,2026,Scientific reports,Preliminary efficacy of cognitive multisensory rehabilitation for neuropathic pain in chronic spinal cord injury: a phase I randomized controlled trial,True,"research-article Clinical Trial, Phase I Randomized Controlled Trial J",0,1,,10.5061/dryad.7h44j1007,False,Data availability The datasets used and/or analysed during the current study available on Dryad: DOI: 10.5061/dryad.7h44j1007.
PMC12821712,41562789,10.3390/geriatrics11010006,2026,"Geriatrics (Basel, Switzerland)",Effect of a Physio-Feedback Exercise Intervention Program on the Static Balance of Community-Dwelling Older Adults: A Clustered Randomized Controlled Trial,True,research-article Journal Article,0,1,,osf.io/8763w,False,"Data Availability Statement The deidentified data for this study, as well as the statistical processing code, is publicly available at https://osf.io/8763w/overview (created 25 October 2025)."
