year,source,type,title,url,doi,article_doi,matched_term
2026,dryad,dataset,Data from: Preliminary efficacy of cognitive multisensory rehabilitation for neuropathic pain in chronic spinal cord injury: A phase I randomized controlled trial,https://datadryad.org/dataset/10.5061/dryad.7h44j1007,10.5061/dryad.7h44j1007,,physical therapy
2026,dryad,dataset,Data from: Comparing autistic and non-autistic older adults' fall-related hospitalization care and outcomes,https://datadryad.org/dataset/10.5061/dryad.vq83bk47t,10.5061/dryad.vq83bk47t,,physical therapy
2026,dryad,dataset,Data from: Large language models for automated and audience-tailored labeling of latent classes,https://datadryad.org/dataset/10.5061/dryad.1jwstqk9d,10.5061/dryad.1jwstqk9d,,low back pain
2026,dryad,dataset,Raw data for efficacy and safety from: Intra-articular sodium hyaluronate for ankle-involved Kashin-Beck disease: A 12-month prospective self-controlled study,https://datadryad.org/dataset/10.5061/dryad.kwh70rzk6,10.5061/dryad.kwh70rzk6,,musculoskeletal pain
2026,dryad,dataset,Data from: Comparing exercise with virtual reality gaming on gait and cognition in relapsing-remitting multiple sclerosis: a randomized controlled trial,https://datadryad.org/dataset/10.5061/dryad.x69p8czzx,10.5061/dryad.x69p8czzx,,rehabilitation trial
2026,dryad,dataset,Human intracranial signal stability tracks anatomical accuracy after electrode reimplantation,https://datadryad.org/dataset/10.5061/dryad.8931zcs3r,10.5061/dryad.8931zcs3r,,chronic pain trial
2026,zenodo,dataset,Dataset related to sub-study one of the PainSMART-project (RCT-PROMs primary and secondary outcomes).,https://zenodo.org/records/18798379,10.5281/zenodo.18798379,,physiotherapy
2026,zenodo,software,Synthetic Data Methods for Small-Sample Parkinson's Disease Rehabilitation Trials,https://zenodo.org/records/22070236,10.5281/zenodo.22070236,,physiotherapy
2026,zenodo,software,Clinical indicators associated with pain trajectories in non-specific neck pain: a secondary analysis of a multicenter prospective observational cohort to develop a clinical compass for pers,https://zenodo.org/records/21511654,10.5281/zenodo.21511654,,physiotherapy
2026,zenodo,software,Physio Decision Models: Clinical Reasoning Under Biological Uncertainty,https://zenodo.org/records/20684249,10.5281/zenodo.20684249,,physiotherapy
2026,zenodo,software,"Shortwave diathermy dose calculator for clinical, academic, and scientific use in musculoskeletal conditions.",https://zenodo.org/records/19443879,10.5281/zenodo.19443879,,physiotherapy
2026,zenodo,dataset,Sagittal–Coronal Alignment Interaction and Lumbar Intervertebral Loading During Standing: Reproducibility Package,https://zenodo.org/records/22074067,10.5281/zenodo.22074067,,physical therapy
2026,zenodo,dataset,"COMPREHENSIVE REHABILITATION FOR LUMBOSACRAL DORSOPATHY IN ELDERLY PATIENTS: EFFICACY, MODALITIES, AND CLINICAL OUTCOMES",https://zenodo.org/records/20521801,10.5281/zenodo.20521801,,physical therapy
