source,type,year,title,doi,url,article_doi,looks_trial,matched_term
dryad,dataset,2026,Data from: Preliminary efficacy of cognitive multisensory rehabilitation for neuropathic pain in chronic spinal cord injury: A phase I randomized controlled trial,10.5061/dryad.7h44j1007,https://datadryad.org/dataset/10.5061/dryad.7h44j1007,,True,physical therapy
dryad,dataset,2026,Data from: Comparing autistic and non-autistic older adults' fall-related hospitalization care and outcomes,10.5061/dryad.vq83bk47t,https://datadryad.org/dataset/10.5061/dryad.vq83bk47t,,True,physical therapy
dryad,dataset,2026,Data from: Large language models for automated and audience-tailored labeling of latent classes,10.5061/dryad.1jwstqk9d,https://datadryad.org/dataset/10.5061/dryad.1jwstqk9d,,True,low back pain
dryad,dataset,2026,Raw data for efficacy and safety from: Intra-articular sodium hyaluronate for ankle-involved Kashin-Beck disease: A 12-month prospective self-controlled study,10.5061/dryad.kwh70rzk6,https://datadryad.org/dataset/10.5061/dryad.kwh70rzk6,,True,musculoskeletal pain
dryad,dataset,2026,Data from: Comparing exercise with virtual reality gaming on gait and cognition in relapsing-remitting multiple sclerosis: a randomized controlled trial,10.5061/dryad.x69p8czzx,https://datadryad.org/dataset/10.5061/dryad.x69p8czzx,,True,rehabilitation trial
dryad,dataset,2026,Human intracranial signal stability tracks anatomical accuracy after electrode reimplantation,10.5061/dryad.8931zcs3r,https://datadryad.org/dataset/10.5061/dryad.8931zcs3r,,True,chronic pain trial
dryad,dataset,2025,"Therapeutic use of cold atmospheric plasma for the treatment of mild acne papulopustulosa  - a randomised controlled, double-blind pilot study",10.5061/dryad.12jm63z3t,https://datadryad.org/dataset/10.5061/dryad.12jm63z3t,,True,physical therapy
dryad,dataset,2025,Physical activity is associated with exercise capacity among patients undergoing chemotherapy: a pilot randomized controlled trial,10.5061/dryad.w6m905qzp,https://datadryad.org/dataset/10.5061/dryad.w6m905qzp,,True,physical therapy
dryad,dataset,2024,"Extended data for behavioural change for Parkinson’s disease: A randomised controlled feasibility study to promote physical activity and exercise adherence among people with Parkinson’s, stu",10.5061/dryad.prr4xgxt5,https://datadryad.org/dataset/10.5061/dryad.prr4xgxt5,,True,physiotherapy
dryad,dataset,2024,Auriculotherapy treatment in fibromyalgia: A randomized trial,10.5061/dryad.r2280gbms,https://datadryad.org/dataset/10.5061/dryad.r2280gbms,,True,physical therapy
dryad,dataset,2023,REGAIN trial intervention development process evaluation data,10.5061/dryad.n8pk0p30r,https://datadryad.org/dataset/10.5061/dryad.n8pk0p30r,,True,rehabilitation trial
dryad,dataset,2023,Remodeling dental anatomy vs sham therapy for chronic temporomandibular disorders: A placebo-controlled randomized clinical trial,10.5061/dryad.zkh189370,https://datadryad.org/dataset/10.5061/dryad.zkh189370,,True,chronic pain trial
dryad,dataset,2022,Development of chronic pain after posterolateral and axillary approaches for thoracic surgery: A prospective monocentric observational study,10.5061/dryad.g4f4qrft1,https://datadryad.org/dataset/10.5061/dryad.g4f4qrft1,,True,shoulder pain
dryad,dataset,2021,Effect of a single application of Scenar for pain relief in patients with low back and neck pain,10.5061/dryad.63xsj3v2s,https://datadryad.org/dataset/10.5061/dryad.63xsj3v2s,,True,low back pain
dryad,dataset,2021,Home-based exercise for people living with frailty and chronic kidney disease: a mixed-methods pilot randomised controlled trial,10.5061/dryad.3ffbg79hp,https://datadryad.org/dataset/10.5061/dryad.3ffbg79hp,,True,musculoskeletal pain
dryad,dataset,2021,"Fatal and non-fatal events within 14 days after early, intensive mobilization post stroke",10.5061/dryad.9s4mw6mcq,https://datadryad.org/dataset/10.5061/dryad.9s4mw6mcq,,True,rehabilitation trial
dryad,dataset,2021,Telerehabilitation program for COVID-19 survivors (TERECO) - Randomized controlled trial,10.5061/dryad.59zw3r27n,https://datadryad.org/dataset/10.5061/dryad.59zw3r27n,,True,rehabilitation trial
dryad,dataset,2021,Efficacy of high-intensity aerobic exercise on brain MRI measures in multiple sclerosis,10.5061/dryad.3ffbg79fs,https://datadryad.org/dataset/10.5061/dryad.3ffbg79fs,,True,exercise intervention
dryad,dataset,2021,Sham therapy vs manual therapy and control dataset for meta-analyses,10.5061/dryad.v9s4mw6tb,https://datadryad.org/dataset/10.5061/dryad.v9s4mw6tb,,True,manual therapy
dryad,dataset,2021,Clinical trial eligibility in COVID-19 patients,10.5061/dryad.v41ns1rtx,https://datadryad.org/dataset/10.5061/dryad.v41ns1rtx,,True,manual therapy
dryad,dataset,2021,Accompanied versus unaccompanied walking for continuous oxygen saturation measurement during 6-min walk test in COPD: A randomised cross-over study,10.5061/dryad.gmsbcc2n7,https://datadryad.org/dataset/10.5061/dryad.gmsbcc2n7,,True,pulmonary rehabilitation
dryad,dataset,2020,Data from: Initiating Antiretroviral Therapy for HIV at a Patient’s First Clinic Visit: The RapIT Randomized Controlled Trial,10.5061/dryad.vx0k6djp9,https://datadryad.org/dataset/10.5061/dryad.vx0k6djp9,,True,physical therapy
dryad,dataset,2020,Different intensity exercise and verbal spatial working memory data,10.5061/dryad.bcc2fqz92,https://datadryad.org/dataset/10.5061/dryad.bcc2fqz92,,True,exercise intervention
dryad,dataset,2020,Terrestrial acclimation and exercise lead to bone functional response in Polypterus pectoral fins,10.5061/dryad.0vt4b8gwc,https://datadryad.org/dataset/10.5061/dryad.0vt4b8gwc,,True,exercise intervention
dryad,dataset,2020,Data from: BCI training to move a virtual hand reduces phantom limb pain: a randomized crossover trial,10.5061/dryad.15dv41nt9,https://datadryad.org/dataset/10.5061/dryad.15dv41nt9,,True,chronic pain trial
dryad,dataset,2019,Data from: Genetic determinants of disease severity in the myotonic dystrophy type 1 OPTIMISTIC cohort,10.5061/dryad.t063q70,https://datadryad.org/dataset/10.5061/dryad.t063q70,,True,exercise therapy
dryad,dataset,2019,Data from: The Fear Reduction Exercised Early (FREE) approach to management of low back pain in general practice: a pragmatic cluster-randomised controlled trial,10.5061/dryad.4t375b2,https://datadryad.org/dataset/10.5061/dryad.4t375b2,,True,low back pain
dryad,dataset,2019,Data from: Randomized study of the impact of a therapeutic education program on patients suffering from chronic low-back pain who are treated with transcutaneous electrical nerve stimulation,10.5061/dryad.84nj034,https://datadryad.org/dataset/10.5061/dryad.84nj034,,True,low back pain
dryad,dataset,2019,Data from: Cognitive approach to rehabilitation in children with hyperkinetic movement disorders post-DBS,10.5061/dryad.5r06h3c,https://datadryad.org/dataset/10.5061/dryad.5r06h3c,,True,rehabilitation trial
dryad,dataset,2019,"Effects of supervised exercise training during pregnancy on psychological well-being among overweight and obese women:  Secondary analyses of the ETIP-trial, a randomized controlled trial.",10.5061/dryad.pvmcvdng6,https://datadryad.org/dataset/10.5061/dryad.pvmcvdng6,,True,exercise intervention
dryad,dataset,2019,Data from: Early MoCA predicts long-term cognitive and functional outcome and mortality after stroke,10.5061/dryad.7h083rd,https://datadryad.org/dataset/10.5061/dryad.7h083rd,,True,stroke rehabilitation
dryad,dataset,2019,Data from: Cannabis analgesia in chronic neuropathic pain is associated with altered brain connectivity,10.5061/dryad.df6qd5n,https://datadryad.org/dataset/10.5061/dryad.df6qd5n,,True,chronic pain trial
dryad,dataset,2019,Data from: Effect of aerobic exercise on cognition in younger adults: a randomized clinical trial,10.5061/dryad.10n4r3g,https://datadryad.org/dataset/10.5061/dryad.10n4r3g,,True,exercise randomized controlled trial
dryad,dataset,2018,Data from: Early rehabilitation to prevent post-intensive care syndrome in critically ill patients: a systematic review and meta-analysis,10.5061/dryad.12q6c78,https://datadryad.org/dataset/10.5061/dryad.12q6c78,,True,rehabilitation trial
dryad,dataset,2018,"Data from: Effect of ecological momentary assessment, goal-setting and personalized phone-calls on adherence to interval walking training using the InterWalk application among patients with ",10.5061/dryad.nn08r1c,https://datadryad.org/dataset/10.5061/dryad.nn08r1c,,True,exercise intervention
dryad,dataset,2017,Data from: The effect of sitagliptin on carotid artery atherosclerosis in Type 2 Diabetes: the PROLOGUE randomized controlled trial,10.5061/dryad.qt743,https://datadryad.org/dataset/10.5061/dryad.qt743,,True,exercise therapy
dryad,dataset,2017,Data from: A novel brief therapy for patients who attempt suicide: a 24-months follow-up randomized controlled study of the Attempted Suicide Short Intervention Program (ASSIP),10.5061/dryad.85nf3,https://datadryad.org/dataset/10.5061/dryad.85nf3,,True,manual therapy
dryad,dataset,2016,Data from: Optimal cardiac resynchronization therapy pacing rate in non-ischemic heart failure patients: a randomized crossover pilot trial,10.5061/dryad.ts183,https://datadryad.org/dataset/10.5061/dryad.ts183,,True,exercise therapy
dryad,dataset,2016,Data from: Musculoskeletal pain as a marker of health quality. Findings from the epidemiological sleep study among the adult population of São Paulo city,10.5061/dryad.h3k43,https://datadryad.org/dataset/10.5061/dryad.h3k43,,True,low back pain
dryad,dataset,2016,Data from: Early sitting in ischemic stroke patients (SEVEL): a randomized controlled trial,10.5061/dryad.jh15q,https://datadryad.org/dataset/10.5061/dryad.jh15q,,True,rehabilitation trial
dryad,dataset,2016,Data from: A 12-week exercise program for pregnant women with obesity to improve physical activity levels: an open randomised preliminary study,10.5061/dryad.87f03,https://datadryad.org/dataset/10.5061/dryad.87f03,,True,exercise intervention
