year,is_rct,journal,title,doi,pmcid,n_data,n_code,data_urls,code_urls,das
2026,True,BMJ open,Anatomy of a failure: a retrospective evaluation of a cognitive bias modification intervention to promote physical activity in cardiac rehabilitation,10.1136/bmjopen-2025-101558,PMC13141020,1,0,10.5281/zenodo.17292448,,"Data Availability Statement Data are available in a public, open access repository. Data are available in a public, open access repository. Data are available in a public, open access repository. Deidentified data, data management, analysis codes and research materials have been made publicly available on Zenodo ( https://doi.org/10.5281/zenodo.17292448 ). 67"
2026,True,Hong Kong physiotherapy journal : official publication ,Comparison of the short-term effects of Mulligan and Maitland mobilisation techniques combined with home-based exercise for non-specific neck pain: A randomised controlled trial,10.1142/s1013702526500058,PMC13092435,1,0,10.5281/zenodo.15278572,,"Data Availability Statement The data supporting the findings of this study are openly available in Zenodo at https://doi.org/10.5281/zenodo.15278572 , reference number 15278572. The data supporting the findings of this study are openly available in Zenodo at https://doi.org/10.5281/zenodo.15278572 , reference number 15278572."
2026,True,BMC geriatrics,Out-of-home mobility enhancement by a physiotherapist-led motivational counselling intervention among rural community-dwelling older adults 75+: the MOBILE RCT,10.1186/s12877-026-07244-w,PMC13063870,0,2,,gitlab.com/arik.grahl/mobile-project-client | gitlab.com/arik.grahl/mobile-project-server,Data Availability Statement Data collected in this study will be available upon reasonable request and stored at the institutional repository after the study is completed. Data will be in aggregated form (no GPS fixes) to secure the privacy of the study participants. The architecture of the app developed specifically for this study can be accessed via the following links: https://gitlab.com/arik.grahl/mobile-project-client and https://gitlab.com/arik.grahl/mobile-project-server . Data collected in this study will be available upon reasonable request and stored at the institutional repository after the study is completed. Data will be in aggregated form (no GPS fixes) to secure the privacy of the study participants. The architecture of the app developed specifically for this study can be accessed via the following links: https://gitlab.com/arik.grahl/mobile-project-client and https://gitlab.com/arik.grahl/mobile-project-server . Data collected in this study will be available upon reason
2026,True,Scandinavian journal of medicine & science in sports,Effects of Low-Load Blood-Flow Restriction Training Versus High-Load Resistance Training on Neuromuscular Performance and Neuromuscular Activation,10.1111/sms.70203,PMC12780320,1,0,osf.io/fz38r,,Data Availability Statement The anonymized dataset supporting the findings of this study is publicly available on the Open Science Framework at https://doi.org/10.17605/OSF.IO/FZ38R . Users are kindly asked to cite the dataset if used in any form. The anonymized dataset supporting the findings of this study is publicly available on the Open Science Framework at https://doi.org/10.17605/OSF.IO/FZ38R . Users are kindly asked to cite the dataset if used in any form. The anonymized dataset supporting the findings of this study is publicly available on the Open Science Framework at https://doi.org/10.17605/OSF.IO/FZ38R . Users are kindly asked to cite the dataset if used in any form.
2026,True,Scientific reports,Preliminary efficacy of cognitive multisensory rehabilitation for neuropathic pain in chronic spinal cord injury: a phase I randomized controlled trial,10.1038/s41598-026-44859-w,PMC13144352,1,0,10.5061/dryad.7h44j1007,,Data availability The datasets used and/or analysed during the current study available on Dryad: DOI: 10.5061/dryad.7h44j1007.
2026,True,"Geriatrics (Basel, Switzerland)",Effect of a Physio-Feedback Exercise Intervention Program on the Static Balance of Community-Dwelling Older Adults: A Clustered Randomized Controlled Trial,10.3390/geriatrics11010006,PMC12821712,1,0,osf.io/8763w,,"Data Availability Statement The deidentified data for this study, as well as the statistical processing code, is publicly available at https://osf.io/8763w/overview (created 25 October 2025)."
2026,True,PloS one,High-intensity eccentric hip abductor strength training improves dynamic knee valgus in a task-dependent manner in asymptomatic young women: A pilot study,10.1371/journal.pone.0330140,PMC13143104,1,0,10.5281/zenodo.1808373,,"Data Availability Statement The minimal dataset required is available on the Zenodo platform under the following DOI: https://doi.org/10.5281/zenodo.1808373 . This access location is indicated in the Data Availability Statement section of the manuscript, between lines 395–398. The minimal dataset required is available on the Zenodo platform under the following DOI: https://doi.org/10.5281/zenodo.1808373 . This access location is indicated in the Data Availability Statement section of the manuscript, between lines 395–398. The minimal dataset required is available on the Zenodo platform under the following DOI: https://doi.org/10.5281/zenodo.1808373 . This access location is indicated in the Data Availability Statement section of the manuscript, between lines 395–398."
2026,True,GeroScience,HomeCoRe for telerehabilitation in mild or major neurocognitive disorders: a non-inferiority randomized controlled trial,10.1007/s11357-025-02006-9,PMC12972472,1,0,10.5281/zenodo.15389025,,Data Availability Statement The datasets presented in this study can be found in online repositories. The names of the repository/repositories and accession number(s) can be found below: 10.5281/zenodo.15389025. The datasets presented in this study can be found in online repositories. The names of the repository/repositories and accession number(s) can be found below: 10.5281/zenodo.15389025. The datasets presented in this study can be found in online repositories. The names of the repository/repositories and accession number(s) can be found below: 10.5281/zenodo.15389025.
2026,True,Nutrients,Effects of Modest Carbohydrate-Energy Supplementation on Resistance Training Adaptations in Trained Men: A Crossover Trial,10.3390/nu18121961,PMC13305566,1,0,osf.io/enz8m,,Data Availability Statement The original data presented in the study are openly available in the Open Science Framework at https://osf.io/enz8m/overview (accessed on 14 June 2026). The original data presented in the study are openly available in the Open Science Framework at https://osf.io/enz8m/overview (accessed on 14 June 2026). The original data presented in the study are openly available in the Open Science Framework at https://osf.io/enz8m/overview (accessed on 14 June 2026).
2026,True,Psychological medicine,Changes in repetitive negative thinking and stress perception mediate treatment effects of a transdiagnostic exercise intervention,10.1017/s0033291725103085,PMC12885332,1,0,osf.io/5rcuz,,Data Availability Statement The data that support the findings of this study are openly available in Open Science Framework at https://osf.io/5rcuz/files/osfstorage . The data that support the findings of this study are openly available in Open Science Framework at https://osf.io/5rcuz/files/osfstorage . The data that support the findings of this study are openly available in Open Science Framework at https://osf.io/5rcuz/files/osfstorage .
