study_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
physiofeedback_PMC12821712,AP RMS (anterior-posterior root mean square of center-of-pressure sway),abstract,T4 (three months post-intervention); paper does not explicitly designate a singl,Control,Control,"Age,BMI,Gender,Race",other,0.02,0.678,secondary
mulligan_PMC13092435,Pain intensity (NPRS),abstract,"2 weeks post-intervention ('2nd week measurement'), after 4 manual-therapy sessi",Group 3: home-based TE alone (control group) (n=15),3,none,change,,0.383,primary
lytras_fms_PMC12942207,"NPRS-Lumbar Pain (Numeric Pain Rating Scale, lumbar back pain)",registration,"Week 3 (post-intervention, after 10 treatment sessions over three weeks), compar",Manual Therapy Only,2,none,other,-1.2,0.018,primary
clusterset_PMC13140343,One-repetition maximum (1RM) in the free-weight back squat (chronic adaptation),methods_first_named,"post-intervention (after the 6-week training programme), compared with pre-inter",Traditional Set (TS),TS,Sex,other,,0.352,primary
tereco_PMC8318721,"6-minute walking distance (6MWD), as measure of functional exercise capacity",methods_first_named,"post-treatment, 6 weeks after baseline (~42.9 days on average)",TERECO (telerehabilitation),2,none,ancova,65.45,,primary
spadi_PMC4880881,Shoulder Pain and Disability Index (SPADI) total score,methods_first_named,Not declared as a single named timepoint. The Statistical analysis section expli,"TAU - treatment-as-usual (control group, no corticosteroid i",3,none,ancova,-20.8,,primary
tscs_PMC13085461,Berg Balance Scale (BBS),abstract,"8 weeks post-intervention (after 40 sessions, 5 sessions/week)","CPT + tSCS (Group B, control, n=7)",2,none,ancova,7.67,,primary
tdcs_PMC13257960,"Voluntary activation (Central Activation Ratio, CAR) and quadriceps strength (Normalized Peak Torque, NPT, during MVIC) ",methods_first_named,"Post-intervention, i.e. after completion of the 10th a-tDCS session (baseline wa",sham a-tDCS + RPT,2,none,endpoint,6.85,0.01,primary
etip_PMC6886967,Psychological General Well-Being Index (PGWBI) global score,abstract,late pregnancy (gestational week 34-37); also assessed at 3 months postpartum,control,2,none,ancova,2.6,0.42,secondary
phosphatidic_PMC4891923,Lean Body Mass (LBM),abstract,Pre (within 7 days before) vs Post (within 7 days after) an 8-week resistance-tr,Placebo (PLA),2,none,change,33.3,0.041,primary
facial_PMC11164989,"Sunnybrook Facial Grading System (SFGS) total composite score (comprising resting symmetry, voluntary movement, and synk",methods_first_named,"Change score from baseline to 20th day (post-intervention, end of 3-week treatme",Conventional group (conventional exercise regimen),2,none,change,,0.002,primary
gainingmore_PMC10809978,"Muscle thickness (hypertrophy) of the quadriceps femoris (rectus femoris and vastus lateralis, measured at 30/50/70% fem",abstract,"Post-intervention (end of 9-week training block, ultrasound taken >=48h after th",TRAD,2,none,change,-0.63,0.273,primary
etre_PMC11945196,Body weight (kg) — one of three co-primary outcomes (with triceps brachii muscle thickness and push-up endurance),abstract,"Week 8 (post-intervention), vs. Week 0 baseline",Control,Control,none,other,2.13,0.001,primary
creatine_PMC11944689,"Whole-body (total) lean body mass, change from baseline",abstract,Paper does not designate a single primary timepoint; it analyses 3 co-equal stag,Creatine monohydrate (CrM) 5 g/day,Control,none,ancova,0.51,0.03,primary
free_PMC6733445,Roland Morris Disability Questionnaire (RMDQ) - change from baseline in disability,methods_first_named,"6 months (= week 26 in the deposited dataset's 'week' variable, which takes valu","Control (n=100 enrolled / 99 analysed, 25 GPs, 4 practices)",Control,agegp_w0,ancova,0.57,0.354,primary
mallorca_PMC8198819,"Postpartum depression, assessed with the Edinburgh Postnatal Depression Scale (EPDS) total score and the dichotomised ri",abstract,1 month after delivery (single postpartum follow-up assessment; no baseline EPDS,Control: usual antenatal care alone (n=146 randomised),C,none,endpoint,-0.7,0.01,secondary
