study_id,paper_pdf,deposit_file,Q1_primary_outcome_name,Q2_where_declared (registration|methods|abstract_first|sample_size|none),Q3_primary_timepoint,Q4_control_arm_label_in_paper,Q5_control_arm_code_in_deposit,Q6_covariates_in_published_primary_model (none or list),Q7_baseline_handling (endpoint|change|ancova|other),Q8_published_estimate_value,Q9_published_p,Q10_report_type (primary|secondary),coder_initials,date,notes
physiofeedback_PMC12821712,studies/2026_effect-of-a-physio-feedback-exercise-interventio_PMC12821712/paper.pdf,studies/2026_effect-of-a-physio-feedback-exercise-interventio_PMC12821712/deposit/deidentified data.xlsx,,,,,,,,,,,,,
mulligan_PMC13092435,studies/2026_comparison-of-the-short-term-effects-of-mulligan_PMC13092435/paper.pdf,studies/2026_comparison-of-the-short-term-effects-of-mulligan_PMC13092435/deposit/Kiouloukiotis data.sav,,,,,,,,,,,,,
lytras_fms_PMC12942207,studies/2026_short-term-effects-of-manual-therapy-combined-wi_PMC12942207/paper.pdf,studies/2026_short-term-effects-of-manual-therapy-combined-wi_PMC12942207/deposit/Lytras FMS 1 data.sav,,,,,,,,,,,,,
clusterset_PMC13140343,studies/2026_acute-responses-and-chronic-adaptations-to-clust_PMC13140343/paper.pdf,studies/2026_acute-responses-and-chronic-adaptations-to-clust_PMC13140343/deposit/data.xlsx,,,,,,,,,,,,,
tereco_PMC8318721,studies/2022_a-telerehabilitation-programme-in-post-discharge_PMC8318721/paper.pdf,studies/2022_a-telerehabilitation-programme-in-post-discharge_PMC8318721/deposit/TERECO_Public_Data_wide.csv,,,,,,,,,,,,,
spadi_PMC4880881,studies/2016_adhesive-capsulitis-of-the-shoulder-treatment-wi_PMC4880881/paper.pdf,studies/2016_adhesive-capsulitis-of-the-shoulder-treatment-wi_PMC4880881/deposit/Frozen shoulder RCTgr dataset 100516_art2_1.sav,,,,,,,,,,,,,
tscs_PMC13085461,studies/2026_transcutaneous-spinal-cord-stimulation-combined_PMC13085461/paper.pdf,studies/2026_transcutaneous-spinal-cord-stimulation-combined_PMC13085461/deposit/iEMG _1_ 2.0.sav,,,,,,,,,,,,,
tdcs_PMC13257960,studies/2026_integrating-multi-session-transcranial-direct-cu_PMC13257960/paper.pdf,studies/2026_integrating-multi-session-transcranial-direct-cu_PMC13257960/deposit/tDCS.sav,,,,,,,,,,,,,
etip_PMC6886967,studies/2019_effects-of-supervised-exercise-training-during-p_PMC6886967/paper.pdf,studies/2019_effects-of-supervised-exercise-training-during-p_PMC6886967/deposit/ETIP_Mental_Health_in_obese_pregancies.sav,,,,,,,,,,,,,
phosphatidic_PMC4891923,studies/2016_the-effects-of-phosphatidic-acid-supplementation_PMC4891923/paper.pdf,studies/2016_the-effects-of-phosphatidic-acid-supplementation_PMC4891923/deposit/Maxxtor male stats 8-12-15.xlsx,,,,,,,,,,,,,
facial_PMC11164989,studies/2024_effectiveness-of-novel-facial-stretching-with-st_PMC11164989/paper.pdf,studies/2024_effectiveness-of-novel-facial-stretching-with-st_PMC11164989/deposit/Data sheet.xlsx,,,,,,,,,,,,,
gainingmore_PMC10809978,studies/2024_gaining-more-from-doing-less-the-effects-of-a-on_PMC10809978/paper.pdf,studies/2024_gaining-more-from-doing-less-the-effects-of-a-on_PMC10809978/deposit/Dataset Deload.xlsx,,,,,,,,,,,,,
etre_PMC11945196,studies/2025_early-time-restricted-eating-improves-weight-los_PMC11945196/paper.pdf,studies/2025_early-time-restricted-eating-improves-weight-los_PMC11945196/deposit/Body data.csv,,,,,,,,,,,,,
creatine_PMC11944689,studies/2025_the-effect-of-creatine-supplementation-on-lean-b_PMC11944689/paper.pdf,studies/2025_the-effect-of-creatine-supplementation-on-lean-b_PMC11944689/deposit/Desai-Data-LBM.xlsx,,,,,,,,,,,,,
free_PMC6733445,studies/2019_the-fear-reduction-exercised-early-free-approach_PMC6733445/paper.pdf,studies/2019_the-fear-reduction-exercised-early-free-approach_PMC6733445/deposit/FREE_Patient_Outcome_Data_v1_0.csv,,,,,,,,,,,,,
mallorca_PMC8198819,studies/2021_effectiveness-of-moderate-intensity-aerobic-wate_PMC8198819/paper.pdf,studies/2021_effectiveness-of-moderate-intensity-aerobic-wate_PMC8198819/deposit/WaterexerciseprogramGAPMallorca.xlsx,,,,,,,,,,,,,
