study_id,data_file,bytes,sha256,file_mtime,n_files_in_deposit
physiofeedback_PMC12821712,studies/2026_effect-of-a-physio-feedback-exercise-interventio_PMC12821712/deposit/deidentified data.xlsx,172324,5a0317dfbb93800c1bf74c16ca704b7ec652de39f266fde92ad3d94dd22622b7,2026-08-28,2
mulligan_PMC13092435,studies/2026_comparison-of-the-short-term-effects-of-mulligan_PMC13092435/deposit/Kiouloukiotis data.sav,38841,c584c59e19eb0e8df9d587315d341af449e51eeb929b10fb3cdd9524bf17a33c,2026-08-28,2
lytras_fms_PMC12942207,studies/2026_short-term-effects-of-manual-therapy-combined-wi_PMC12942207/deposit/Lytras FMS 1 data.sav,3991,cdefd1af46d7bd57c54fd971c03b2bbd9985a241fa4d5a398b40cf6b4d4e43e2,2026-08-28,2
clusterset_PMC13140343,studies/2026_acute-responses-and-chronic-adaptations-to-clust_PMC13140343/deposit/data.xlsx,558438,bf365163acb61682d17e8ec431f6a8150550e29773150c564d28e80aa473bcc5,2026-08-28,4
tereco_PMC8318721,studies/2022_a-telerehabilitation-programme-in-post-discharge_PMC8318721/deposit/TERECO_Public_Data_wide.csv,59767,10be9c32c174dc7d78cf4a0bd4e1d1fb2f2c0ce1c0ac4d3a10deaae352d6391f,2026-08-28,6
spadi_PMC4880881,studies/2016_adhesive-capsulitis-of-the-shoulder-treatment-wi_PMC4880881/deposit/Frozen shoulder RCTgr dataset 100516_art2_1.sav,27915,884583baebd28371b095ff3733be3d28ab122a5c051d7aa6774bd51491a5819f,2026-08-28,1
tscs_PMC13085461,studies/2026_transcutaneous-spinal-cord-stimulation-combined_PMC13085461/deposit/iEMG _1_ 2.0.sav,6977,3d94599fadd1a4f617b3603c6656db4bacd79fc7e5760463184e18f447f763b1,2026-08-28,2
tdcs_PMC13257960,studies/2026_integrating-multi-session-transcranial-direct-cu_PMC13257960/deposit/tDCS.sav,11141,ad9a64b2e63014e03b4618a2e0ca3cd4384a3520c282d59d7ff8d0ae4f19ca8f,2026-08-28,1
etip_PMC6886967,studies/2019_effects-of-supervised-exercise-training-during-p_PMC6886967/deposit/ETIP_Mental_Health_in_obese_pregancies.sav,62188,33828c28bdf7ac6e89bf7ccb7d78db248a3240c1c5e70d66c45f972378d37628,2026-08-28,1
phosphatidic_PMC4891923,studies/2016_the-effects-of-phosphatidic-acid-supplementation_PMC4891923/deposit/Maxxtor male stats 8-12-15.xlsx,13104,ca56ec456c23f23dab5f1f24e2172bf63fdbbcf943b608c9a512a056c90fde70,2026-08-28,1
facial_PMC11164989,studies/2024_effectiveness-of-novel-facial-stretching-with-st_PMC11164989/deposit/Data sheet.xlsx,12402,0fd149acd739e8bb7c4018121c7001b42fa371e4e9dc2953e07488d19ca61a84,2026-08-28,5
gainingmore_PMC10809978,studies/2024_gaining-more-from-doing-less-the-effects-of-a-on_PMC10809978/deposit/Dataset Deload.xlsx,17273,51106b0563b9c7f719805a64b839614e2fd19503806c09cdbca19668ad9c4c5c,2026-08-28,4
etre_PMC11945196,studies/2025_early-time-restricted-eating-improves-weight-los_PMC11945196/deposit/Body data.csv,1463,a324f7fb361ca4e22a0e03041219b874d71dccfa3da942bc9ead6c799445dd01,2026-08-28,1
creatine_PMC11944689,studies/2025_the-effect-of-creatine-supplementation-on-lean-b_PMC11944689/deposit/Desai-Data-LBM.xlsx,36295,e065af24318cfa6b9a3a8cc19a602f03c9c4d895df321256d2e12687c314b7b2,2026-08-28,2
free_PMC6733445,studies/2019_the-fear-reduction-exercised-early-free-approach_PMC6733445/deposit/FREE_Patient_Outcome_Data_v1_0.csv,229537,aebb1c0d1487cdeeae341f8b2a5dbd2b6ecc99815f2792dc45b6698ab5d5e295,2026-08-28,9
mallorca_PMC8198819,studies/2021_effectiveness-of-moderate-intensity-aerobic-wate_PMC8198819/deposit/WaterexerciseprogramGAPMallorca.xlsx,306158,1c690dbcf939d11712873dc5c461962ff1ecb4044dcad05a3fcf43a27e48c536,2026-08-28,1
