study_id,registration_id,registry,retrieved,retrieval_date,first_registered_date,registered_primary_outcome,registered_primary_timepoint,registered_after_start,primary_outcome_changed_in_registry,matches_paper_primary,matches_our_outcome_var,notes
physiofeedback_PMC12821712,NCT05778604,NCT,yes,2026-09-13,2023-02-16,Change from Baseline in Fall Risk Reduction; Change from Baseline in Dynamic Balance as Measured By Timed-Up and Go (TUG) test; Change from Baseline in Dynamic Balance as Measured By Sit-to-Stand test; Change from Baseline in Physical Activity (vier gleichrangige primaere Outcomes),"Baseline and 9 weeks, 3 month follow-up, and 6 month follow-up",no,no,no,no,"Registrierte Studienstart (actual) 2023-04-12, first submitted 2023-02-16 -> prospektiv. Record History (v1 2023-03-09 -> v2 2023-04-25) zeigt nur Aenderungen bei Recruitment/Study Status/Contacts/Results Submission, keine Aenderung der Outcome Measures. AP RMS (unser outcome_var) ist in keiner Version als primaer registriert; Paper selbst nennt AP RMS als Teil einer 'exploratory analysis' eines SEKUNDAEREN Trial-Outcomes (statische Balance); wahre registrierte Primaer-Outcomes sind Fall Risk, dynamische Balance (TUG/STS) und Physical Activity."
mulligan_PMC13092435,NCT06858124,NCT,yes,2026-09-13,2025-02-27,"Changes in neck pain intensity mit NPRS (erstgenannt); Changes in Pressure Pain Threshold (PPT); Changes in cervical ROM; Changes in Neck Disability Index (NDI); Changes in Pain Catastrophizing Scale (PCS); Changes in Tampa Scale of Kinesiophobia (TSK) - alle 6 sind als 'Primary Outcome Measures' registriert, keine Secondary-Kategorie vorhanden.","pre-treatment, week 2",unclear,no,yes,yes,"First Submitted und Study Start (Actual) fallen beide auf 2025-02-27 (selber Kalendertag); Reihenfolge innerhalb des Tages nicht bestimmbar, daher 'unclear'. Record History zeigt 'Outcome Measures' als geaendert markiert zwischen v1 (2025-02-27) und v2 (2025-03-06); Volltextvergleich v1 vs. aktuell zeigt aber identische Liste/Reihenfolge der 6 primaeren Outcomes (NPRS zuerst) - vermutlich nur Formulierungs-/Beschreibungsaenderungen, kein Wechsel des primaeren Outcomes."
lytras_fms_PMC12942207,NCT07234071,NCT,yes,2026-09-13,2025-11-14,Changes in pain intensity mit NPRS (erstgenannt); Straight Leg Raise (SLR) Angle - Goniometry/SROM; Change in Functional Disability (RMDQ); Change in Neuropathic Symptom Profile - S-LANSS (4 primaere Outcomes),"pre-treatment, week 3",yes,no,yes,yes,"Study Start (Actual) 2025-11-05, First Submitted 2025-11-14 (9 Tage spaeter) -> retrospektive Registrierung. Record History zeigt 'Outcome Measures' als geaendert zwischen v2 (2025-11-17) und v3 (2025-11-21); Volltextvergleich v1 vs. aktuell zeigt identische 4 Outcomes in identischer Reihenfolge (NPRS zuerst), also nur Text-/Beschreibungsaenderungen. Paper deklariert primaer explizit 'per registration' (primary_outcome_declared='registration') - bestaetigt."
clusterset_PMC13140343,,none,no,2026-09-13,,,,,,,,"Keine Trial-Registrierung auffindbar/vorhanden. Laut Extraktion nur ein OSF-Repository fuer Rohdaten/Code, keine Praeregistrierung der Hypothesen/Outcomes. Kein registration_id in published.csv oder JSON vorhanden."
tereco_PMC8318721,ChiCTR2000031834,ChiCTR,yes,2026-09-13,2020-04-11,Total distances of 6 minutes walk test (Primary indicator; einziges primaeres Outcome),nicht separat im Feld angegeben (leer); Studienzeitraum It. Registry 2020-04-20 bis 2020-10-20,no,no,yes,yes,"Registry selbst klassifiziert als 'Prospective registration'. 'Study execute time' beginnt 2020-04-20, also nach dem Registrierungsdatum 2020-04-11. Historical-Versions-Seite zeigt 7 Versionen (1.0-1.6), alle am selben Tag 2020-04-11 erstellt (Vor-Freigabe-Bearbeitungen), keine spaeteren Aenderungen -> primaeres Outcome seit Registrierung unveraendert."
spadi_PMC4880881,NCT01570985,NCT,yes,2026-09-13,2012-03-27,Shoulder pain and disability index (SPADI) (einziges primaeres Outcome),8 weeks,yes,no,yes,yes,"Studienstart It. Registry 2010-02 (Monatsangabe), First Submitted erst 2012-03-27 -> deutlich retrospektive Registrierung (rund 2 Jahre nach Start). Record History (3 Versionen, 2012-2015) zeigt keine Aenderung der Outcome Measures, nur Recruitment/Status/Arms/Contacts und Results Submission."
tscs_PMC13085461,ChiCTR2300074090,ChiCTR,yes,2026-09-13,2023-07-30,Balance (Berg Balance Scale / Timed Up and Go) - erstgenannt; Mobility (Walking Index for Spinal Cord Injury WISCI II / 10-Meter Walk Test) - zwei gleichrangige primaere Outcomes. Strength (Intramuscular EMG) ist SEKUNDAER registriert.,Pre and Post Experiment,no,no,yes,yes,"Registry selbst klassifiziert als 'Prospective registration'; Recruiting time 2023-08-01 bis 2023-09-15 liegt nach dem Registrierungsdatum 2023-07-30. Feld 'Study execute time' nennt zusaetzlich einen frueheren Start 2023-06-01, der plausibel mit der Ethikgenehmigung (2023-06-15) bzw. Protokollphase zusammenhaengt, nicht mit Patientenrekrutierung. Historical Versions (v1.0 2023-07-30 vs. v1.1 2024-02-06): Balance/Mobility als primaer und Strength als sekundaer identisch in beiden Versionen; nur geringfuegige Aenderung des maximalen Einschlussalters (70->80 Jahre)."
tdcs_PMC13257960,IRCT20231113060048N1,IRCT,yes,2026-09-13,2023-12-28,"Quadriceps muscle strength (Biodex Isokinetic Dynamometer) - EINZIGES registriertes primaeres Outcome. 'Central activation ratio' (CAR) ist in der Registrierung Teil der SEKUNDAEREN Outcomes (gemeinsam mit ACL-RSI, IKDC, KOOS, VAS).",Before application of tDCS current and after ten sessions of application of tDCS current,no,unclear,partial,no,"WICHTIGER BEFUND: Registrierung (IRCT-XML) nennt NUR Kniestreckerkraft (Dynamometrie) als primaer; CAR figuriert dort explizit unter Secondary Outcomes. Das Paper behauptet dagegen 'CAR und Kniestreckerkraft (NPT) - zwei koprimaere Outcomes', was durch die Registrierung nicht gedeckt ist. Unser outcome_var (CAR_post_all) entspricht damit einem laut Registrierung SEKUNDAEREN, nicht primaeren Outcome. Datum Registrierung 2023-12-28 vor anticipated enrolment 2024-01-10 -> prospektiv. Versionsverlauf der IRCT-Registrierung wurde nicht ueberprueft (keine Historie-API verfuegbar), daher 'unclear' fuer Aenderung."
etip_PMC6886967,NCT01243554,NCT,yes,2026-09-13,2010-09-06,"Weight gain during pregnancy (kg), gemessen von 14 Schwangerschaftswochen bis Geburt (einziges primaeres Outcome, seit Version 1 unveraendert)",From weight at 14 weeks of pregnancy to weight at delivery,unclear,no,no,no,"Studienstart It. Registry nur als Monat '2010-09' angegeben, First Submitted 2010-09-06 faellt in denselben Monat -> Reihenfolge auf Tagesebene nicht bestimmbar. Direkter Vergleich Version 1 (2010-11-17) mit aktueller Version: primaeres Outcome 'Weight gain during pregnancy' identisch; die als geaendert markierten 'Outcome Measures' in v2/v4/v9 betreffen sekundaere Outcomes/Zeitfenster, nicht das primaere Outcome. Unsere Studie ist eine SEKUNDAERANALYSE (PGWBI/psychisches Wohlbefinden); PGWBI ist im Register weder als primaer noch (unter diesem Namen) explizit als sekundaer gelistet (Sekundaerliste nennt nur generisch 'Quality of life')."
phosphatidic_PMC4891923,,none,no,2026-09-13,,,,,,,,Keine Registrierung im Paper genannt und keine auffindbar (laut Extraktion: 'no trial registration (kein NCT-/Registrierungscode) im Paper auffindbar').
