"study_id","data_file","sheet","id_var","arm_var","arm_include","arm_control","outcome_var","baseline_var","time_var","primary_time","covars_published","strat_vars","cluster_vars","published_est","published_p","n_rows","arm_levels","outcome_candidates","confidence","needs_check"
"2015_a-12-week-exercise-program-for-pregnant-women-wi_PMC4573757","","","","","","","","","","","","","","","",0,"","","keiner","keine Armvariable erkannt"
"2016_adhesive-capsulitis-of-the-shoulder-treatment-wi_PMC4880881","studies/2016_adhesive-capsulitis-of-the-shoulder-treatment-wi_PMC4880881/deposit/Frozen shoulder RCTgr dataset 100516_art2_1.sav","","IDnr","Group","","1","Shoulder_PainDuration","","","","","","","","",106,"1|2|3","Shoulder_PainDuration,Painkillers,ShoulderPainDuration,PainfulShoulder,ShoulderPainOthervise,Neckpain,PreviousNeckTt,VASpre","niedrig","kein pre/post-Paar erkannt, Baseline fehlt; 3 Arme: arm_include setzen"
"2016_early-sitting-in-ischemic-stroke-patients-sevel_PMC4811411","studies/2016_early-sitting-in-ischemic-stroke-patients-sevel_PMC4811411/deposit/TABLE_1_DESCRIPTION_Database resubmit.xls","","","Group affiliation:","","1","Pre-admission Rankin score","","","","","","","","",139,"1|1-early sitting 2-progressive sitting|2","Pre-admission Rankin score,Admission Rankin score,Etiology:Athero-thrombotic,Calculated delay from stroke to first sitting (days)","niedrig","kein pre/post-Paar erkannt, Baseline fehlt; 3 Arme: arm_include setzen"
"2016_the-effects-of-phosphatidic-acid-supplementation_PMC4891923","studies/2016_the-effects-of-phosphatidic-acid-supplementation_PMC4891923/deposit/Maxxtor male stats 8-12-15.xlsx","","ID","Group","","1","Weight2","Weight1","","","","","","","",18,"1|2","","niedrig","10 pre/post-Paare gefunden, primaeres Outcome pruefen"
"2017_predicting-outcome-in-frozen-shoulder-shoulder-c_PMC5581414","studies/2017_predicting-outcome-in-frozen-shoulder-shoulder-c_PMC5581414/deposit/Predicting outcome in Frozen shoulder RCTgr dataset 140317.sav","","IDnr","Group","","1","Shoulder_PainDuration","","","","","","","","",106,"1|2|3","Shoulder_PainDuration,Painkillers,ShoulderPainDuration,PainfulShoulder,ShoulderPainOthervise,Neckpain,PreviousNeckTt,SPADIpainPre","niedrig","kein pre/post-Paar erkannt, Baseline fehlt; 3 Arme: arm_include setzen"
"2019_effects-of-supervised-exercise-training-during-p_PMC6886967","studies/2019_effects-of-supervised-exercise-training-during-p_PMC6886967/deposit/ETIP_Mental_Health_in_obese_pregancies.sav","","ID","Group","","1","Q1_Score_post","Q1_Score_pre","","","","","","","",91,"1|2","Q1_Score_pre,Q1_Score_post,Q1_ScorePP,Q2_ScorePre,Q2_ScorePost,Q2_ScorePP,Q3_Score_Pre,Q3_Score_Post","mittel","23 pre/post-Paare gefunden, primaeres Outcome pruefen"
"2019_the-fear-reduction-exercised-early-free-approach_PMC6733445","","","","","","","","","","","","","","","",0,"","","keiner","keine Armvariable erkannt"
"2020_an-age-adapted-plyometric-exercise-program-impro_PMC7447006","studies/2020_an-age-adapted-plyometric-exercise-program-impro_PMC7447006/deposit/Dataset_PLYO_online.xlsx","","ID","Group","","PLYO","10mFastWalk","","Time","","","","","","",80,"PLYO|RT|WALK","10mFastWalk,CMJ_time_Ecc,CMJ_time_Conc,CMJ_pP_Conc,CMJ_RPD_Conc,CMJ_ContractionTime,CMJ_jumpheight","niedrig","Langformat: primaeren Zeitpunkt und Outcome pruefen; 3 Arme: arm_include setzen"
"2021_effect-of-an-inverted-seated-position-with-upper_PMC8133415","","","","","","","","","","","","","","","",0,"","","keiner","keine Armvariable erkannt"
"2021_effectiveness-of-moderate-intensity-aerobic-wate_PMC8198819","","","","","","","","","","","","","","","",0,"","","keiner","keine Armvariable erkannt"
