study_id,data_file,sheet,id_var,arm_var,arm_include,arm_control,outcome_var,baseline_var,time_var,primary_time,covars_published,strat_vars,cluster_vars,published_est,published_p,notes
physiofeedback_PMC12821712,studies/2026_effect-of-a-physio-feedback-exercise-interventio_PMC12821712/deposit/deidentified data.xlsx,,SubjectID,Group,,Control,AP_RMS,,Time,4,"Age,BMI,Gender,Race",,Site,0.02,0.678,Langformat 4 Zeitpunkte; Zentrumsclusterung
mulligan_PMC13092435,studies/2026_comparison-of-the-short-term-effects-of-mulligan_PMC13092435/deposit/Kiouloukiotis data.sav,,ParticipantNumber,TreatmentGroup,"1,2",1,NPRS2,NPRS1,,,"Age,Gender",,,,,3 Arme; Kontrast 1 gegen 2; SPSS-Datei mit Fuellzeilen
lytras_fms_PMC12942207,studies/2026_short-term-effects-of-manual-therapy-combined-wi_PMC12942207/deposit/Lytras FMS 1 data.sav,,,GROUP,,1,NRPSLBPpost,NRPSLBPpre,,,"Age,Gender,BMI",,,,,kein primaeres Outcome deklariert; NPRS lumbal als erstgenanntes
lymfit_PMC11171874,studies/2024_pilot-randomized-controlled-trial-of-i-lymfit-i_PMC11171874/deposit/all_raw_data_pilotRCT_lymfit.xlsx,,ID,GROUP,,control,POST_Godin,PRE_Godin,,,"Age,BMI",,,,,Pilot-RCT n=26
clusterset_PMC13140343,studies/2026_acute-responses-and-chronic-adaptations-to-clust_PMC13140343/deposit/data.xlsx,,ID,Group,,TS,CMJ_mean,,Time,post,"Age,Sex",,,,,Langformat pre/post; Krafttraining
tereco_PMC8318721,studies/2022_a-telerehabilitation-programme-in-post-discharge_PMC8318721/deposit/TERECO_Public_Data_wide.csv,,,group_randomized,,1,X_6MWD2,X_6MWD1,,,,,,,,primaeres Outcome 6MWD laut Abstract; 7 fehlend post
spadi_PMC4880881,studies/2016_adhesive-capsulitis-of-the-shoulder-treatment-wi_PMC4880881/deposit/Frozen shoulder RCTgr dataset 100516_art2_1.sav,,,Group,"1,2",1,SPADItot4wks,SPADItotPre,,,,,,,,3 Arme; Kontrast 1 gegen 2; primaerer Zeitpunkt 4 Wochen ANGENOMMEN
tscs_PMC13085461,studies/2026_transcutaneous-spinal-cord-stimulation-combined_PMC13085461/deposit/iEMG _1_ 2.0.sav,,ID,Group,,1,BBS_Post,BBS_Pre,,,"Age,BMI",,,,,BBS als erstes von zwei koprimaeren Outcomes
tdcs_PMC13257960,studies/2026_integrating-multi-session-transcranial-direct-cu_PMC13257960/deposit/tDCS.sav,,,group,,1,CAR_post_all,CAR_pre_all,,,"age,BMI",,,,,CAR laut Paper primaeres Outcome
etip_PMC6886967,studies/2019_effects-of-supervised-exercise-training-during-p_PMC6886967/deposit/ETIP_Mental_Health_in_obese_pregancies.sav,,ID,Group,,1,EPDS_total,,,,Pre_preg_BMI,,,,,EPDS_total ohne pre/post-Paar; Baseline fehlt
