"study_id","grid_type","n_spec","n_unique","share_dup"
"clusterset_PMC13140343","defensible",36,36,0
"clusterset_PMC13140343","outlier_arm",18,18,0
"clusterset_PMC13140343","principled",18,18,0
"clusterset_PMC13140343","strict",6,6,0
"creatine_PMC11944689","defensible",48,48,0
"creatine_PMC11944689","outlier_arm",9,9,0
"creatine_PMC11944689","principled",9,9,0
"creatine_PMC11944689","strict",3,3,0
"etip_PMC6886967","defensible",48,48,0
"etip_PMC6886967","outlier_arm",36,30,0.166666666666667
"etip_PMC6886967","principled",9,9,0
"etip_PMC6886967","strict",3,3,0
"etre_PMC11945196","defensible",18,18,0
"etre_PMC11945196","outlier_arm",9,9,0
"etre_PMC11945196","principled",9,9,0
"etre_PMC11945196","strict",3,3,0
"facial_PMC11164989","defensible",30,30,0
"facial_PMC11164989","outlier_arm",18,16,0.111111111111111
"facial_PMC11164989","principled",9,9,0
"facial_PMC11164989","strict",3,3,0
"free_PMC6733445","defensible",99,96,0.0303030303030303
"free_PMC6733445","outlier_arm",252,219,0.130952380952381
"free_PMC6733445","principled",36,35,0.0277777777777778
"free_PMC6733445","strict",12,12,0
"gainingmore_PMC10809978","defensible",18,18,0
"gainingmore_PMC10809978","outlier_arm",9,9,0
"gainingmore_PMC10809978","principled",9,9,0
"gainingmore_PMC10809978","strict",3,3,0
"lytras_fms_PMC12942207","defensible",9,9,0
"lytras_fms_PMC12942207","outlier_arm",9,9,0
"lytras_fms_PMC12942207","principled",9,9,0
"lytras_fms_PMC12942207","strict",3,3,0
"mallorca_PMC8198819","defensible",10,10,0
"mallorca_PMC8198819","outlier_arm",21,19,0.0952380952380952
"mallorca_PMC8198819","principled",3,3,0
"mallorca_PMC8198819","strict",3,3,0
"mulligan_PMC13092435","defensible",18,18,0
"mulligan_PMC13092435","outlier_arm",9,9,0
"mulligan_PMC13092435","principled",9,9,0
"mulligan_PMC13092435","strict",3,3,0
"phosphatidic_PMC4891923","defensible",18,18,0
"phosphatidic_PMC4891923","outlier_arm",9,9,0
"phosphatidic_PMC4891923","principled",9,9,0
"phosphatidic_PMC4891923","strict",3,3,0
"physiofeedback_PMC12821712","defensible",48,45,0.0625
"physiofeedback_PMC12821712","outlier_arm",168,157,0.0654761904761905
"physiofeedback_PMC12821712","principled",24,23,0.0416666666666666
"physiofeedback_PMC12821712","strict",8,8,0
"spadi_PMC4880881","defensible",24,24,0
"spadi_PMC4880881","outlier_arm",9,9,0
"spadi_PMC4880881","principled",9,9,0
"spadi_PMC4880881","strict",3,3,0
"tdcs_PMC13257960","defensible",18,18,0
"tdcs_PMC13257960","outlier_arm",45,41,0.0888888888888889
"tdcs_PMC13257960","principled",9,9,0
"tdcs_PMC13257960","strict",3,3,0
"tereco_PMC8318721","defensible",96,96,0
"tereco_PMC8318721","outlier_arm",126,126,0
"tereco_PMC8318721","principled",18,18,0
"tereco_PMC8318721","strict",6,6,0
"tscs_PMC13085461","defensible",18,18,0
"tscs_PMC13085461","outlier_arm",9,9,0
"tscs_PMC13085461","principled",9,9,0
"tscs_PMC13085461","strict",3,3,0
