"study_id","n","n_baseline_named","p_carlisle_named","n_baseline_all","p_carlisle_all","frac_outcome_nonint","n_dup_rows","p_lastdigit","flag"
"physiofeedback_PMC12821712",358,2,0.308191964769851,2,0.308191964769851,1,0,0.917905414151408,"pass"
"mulligan_PMC13092435",29,1,NA,2,0.510225338105485,0,0,NA,"pass"
"lytras_fms_PMC12942207",40,1,NA,5,0.873130984167281,0,0,NA,"pass"
"clusterset_PMC13140343",36,0,NA,8,0.332723252124567,0.194444444444444,0,NA,"pass"
"tereco_PMC8318721",119,1,NA,7,0.671970821318221,0,0,NA,"pass"
"spadi_PMC4880881",72,1,NA,5,0.85897501040724,0,0,NA,"pass"
"tscs_PMC13085461",20,1,NA,10,0.145471564442079,0,0,NA,"pass"
"tdcs_PMC13257960",20,1,NA,13,0.952988407922773,0.9,0,NA,"pass"
"etip_PMC6886967",91,1,NA,43,0.324286535316939,0,0,NA,"pass"
"phosphatidic_PMC4891923",18,1,NA,5,0.448627641225742,1,0,NA,"pass"
"facial_PMC11164989",24,1,NA,2,0.911129526295779,0,0,NA,"pass"
"gainingmore_PMC10809978",39,1,NA,9,0.572611693520951,0.974358974358974,0,0.490883595603335,"pass"
"etre_PMC11945196",16,0,NA,0,NA,1,0,NA,"pass"
"creatine_PMC11944689",64,1,NA,25,0.269246669181055,1,0,0.312136295992154,"pass"
"free_PMC6733445",226,1,NA,21,0.892402331774773,0,0,NA,"pass"
"mallorca_PMC8198819",294,0,NA,16,0.262632366095457,0,0,NA,"pass"
