"baseline","covars","model","inference","est","se","p","df","sigma","singular","n","sd_denom","d","d_resid","ci_lo","ci_hi","ci_width_d","s_value","dup_group","is_dup","study_id","grid_type","spec_id","missing","transform","outlier","outlier_scope"
"endpoint","none","lm","model",0.0167307652042694,0.0445366568464502,0.707458261965408,274,0.33929758865006,0,276,0.339297588650059,0.0493100032653783,0.0493100032653783,-0.0709467531170469,0.104408283525586,0.516817809817942,0.499283059355213,1,FALSE,"physiofeedback_PMC12821712","principled",1,NA,NA,NA,NA
"change","none","lm","model",0.0453545422523312,0.0484465810281454,0.350041236791507,263,0.359425016282881,0,276,0.339297588650059,0.133671867320897,0.126186381575164,-0.0500379856923157,0.140747070196978,0.56229416969439,1.51440320537198,2,FALSE,"physiofeedback_PMC12821712","principled",2,NA,NA,NA,NA
"ancova","none","lm","model",0.0367937647335037,0.0395531465191934,0.353105162587538,262,0.293392858962572,0,276,0.339297588650059,0.108440985035858,0.125407840066746,-0.0410887426890795,0.114676272156087,0.459080818890868,1.50183018065761,3,FALSE,"physiofeedback_PMC12821712","principled",3,NA,NA,NA,NA
"endpoint","published","lm","model",0.0226050369997617,0.045204063463604,0.617440151013583,267,0.332439473789073,0,276,0.339297588650059,0.0666230405282242,0.0679974515123439,-0.066396729242204,0.111606803241727,0.524623629634805,0.695628793040995,4,FALSE,"physiofeedback_PMC12821712","principled",4,NA,NA,NA,NA
"change","published","lm","model",0.0478599847220973,0.0510200652473603,0.349096711737391,256,0.362790057199112,0,276,0.339297588650059,0.141056070903759,0.131921985656377,-0.0526124976180588,0.148332467062253,0.592238116043791,1.51830132717602,5,FALSE,"physiofeedback_PMC12821712","principled",5,NA,NA,NA,NA
"ancova","published","lm","model",0.0449713176111462,0.0408965823203822,0.272528190073978,255,0.290799616572891,0,276,0.339297588650059,0.132542402644447,0.154647100780732,-0.035566754223118,0.12550938944541,0.474734124428621,1.87552262618517,6,FALSE,"physiofeedback_PMC12821712","principled",6,NA,NA,NA,NA
"endpoint","none","mixed_ri","model",0.0169101784594342,0.0447232888570167,0.712824757645071,10.5836975435934,0.339242684827316,0,276,0.339297588650059,0.0498387817217138,0.0498468477457131,-0.0819995782928184,0.115819935211687,0.583026582333097,0.488380649846422,7,FALSE,"physiofeedback_PMC12821712","principled",7,NA,NA,NA,NA
"change","none","mixed_ri","model",0.0200246466173864,0.0697911767625022,0.778267971407855,14.3681943864935,0.349934976199602,0,276,0.339297588650059,0.0590179455652991,0.0572239072380247,-0.129303475240314,0.169352768475087,0.880219175454927,0.361661108754569,8,FALSE,"physiofeedback_PMC12821712","principled",8,NA,NA,NA,NA
"ancova","none","mixed_ri","model",0.0305183585262819,0.0527548991081082,0.573599930523763,12.0324433126214,0.28826142105236,0,276,0.339297588650059,0.0899456982518008,0.10587042280881,-0.0843903285363948,0.145427045588959,0.677332765728493,0.801883245591318,9,FALSE,"physiofeedback_PMC12821712","principled",9,NA,NA,NA,NA
"endpoint","published","mixed_ri","model",0.0226050369997621,0.045204063463604,0.617440151013581,266.99999999697,0.332439473789074,1,276,0.339297588650059,0.0666230405282256,0.0679974515123453,-0.0663967292422083,0.111606803241733,0.524623629634833,0.695628793040999,4,TRUE,"physiofeedback_PMC12821712","principled",10,NA,NA,NA,NA
"change","published","mixed_ri","model",0.0251193112240193,0.0743413439308516,0.740261542495212,14.5778672682906,0.352800140654858,0,276,0.339297588650059,0.0740332736343922,0.0711998333600251,-0.13373608538494,0.183974707832979,0.936377987482827,0.433893014150827,10,FALSE,"physiofeedback_PMC12821712","principled",11,NA,NA,NA,NA
"ancova","published","mixed_ri","model",0.0405609292322419,0.0525543723591027,0.455515037392982,11.7235748179573,0.286724699425409,0,276,0.339297588650059,0.119543818137992,0.141462975856371,-0.0742453724303215,0.155367230894805,0.676729251860206,1.13442941404512,11,FALSE,"physiofeedback_PMC12821712","principled",12,NA,NA,NA,NA
"endpoint","none","lm","hc3",0.0167307652042694,0.0437437113429249,0.702407452978182,274,0.33929758865006,0,276,0.339297588650059,0.0493100032653783,0.0493100032653783,-0.0693857133166676,0.102847243725206,0.507616213033301,0.509619942044817,12,FALSE,"physiofeedback_PMC12821712","principled",13,NA,NA,NA,NA
"change","none","lm","hc3",0.0453545422523312,0.0520822944740785,0.384644111898907,263,0.359425016282881,0,276,0.339297588650059,0.133671867320897,0.126186381575164,-0.0571967962653141,0.147905880769976,0.604491997279788,1.3784038710331,13,FALSE,"physiofeedback_PMC12821712","principled",14,NA,NA,NA,NA
"ancova","none","lm","hc3",0.0367937647335037,0.0392610116701441,0.34954043180289,262,0.293392858962572,0,276,0.339297588650059,0.108440985035858,0.125407840066746,-0.040513511726394,0.114101041193401,0.455690102411131,1.51646875119568,14,FALSE,"physiofeedback_PMC12821712","principled",15,NA,NA,NA,NA
"endpoint","published","lm","hc3",0.0226050369997617,0.0469147988338699,0.63032021530617,267,0.332439473789073,0,276,0.339297588650059,0.0666230405282242,0.0679974515123439,-0.0697649766487421,0.114975050648265,0.544477866854346,0.665843162038982,15,FALSE,"physiofeedback_PMC12821712","principled",16,NA,NA,NA,NA
"change","published","lm","hc3",0.0478599847220973,0.0550194267113643,0.385183991319729,256,0.362790057199112,0,276,0.339297588650059,0.141056070903759,0.131921985656377,-0.0604883357244171,0.156208305168612,0.638662484325884,1.37638035048993,16,FALSE,"physiofeedback_PMC12821712","principled",17,NA,NA,NA,NA
"ancova","published","lm","hc3",0.0449713176111462,0.0424102026672411,0.289970927783598,255,0.290799616572891,0,276,0.339297588650059,0.132542402644447,0.154647100780732,-0.038547542770927,0.128490177993219,0.492304473570614,1.78601983066408,17,FALSE,"physiofeedback_PMC12821712","principled",18,NA,NA,NA,NA
"endpoint","none","lm","permutation",0.0167307652042694,0.0448870466901767,0.7022,274,0.33929758865006,0,276,0.339297588650059,0.0493100032653783,0.0493100032653783,-0.0716365514566227,0.105098081865162,0.520883847200171,0.510046098668694,18,FALSE,"physiofeedback_PMC12821712","principled",19,NA,NA,NA,NA
"change","none","lm","permutation",0.0453545422523312,0.0476506052653211,0.3434,263,0.359425016282881,0,276,0.339297588650059,0.133671867320897,0.126186381575164,-0.048470689536693,0.139179774041355,0.553055694632669,1.54203805554732,19,FALSE,"physiofeedback_PMC12821712","principled",20,NA,NA,NA,NA
"ancova","none","lm","permutation",0.0367937647335037,0.0391246938494943,0.3422,262,0.293392858962572,0,276,0.339297588650059,0.108440985035858,0.125407840066746,-0.0402450937972808,0.113832623264288,0.45410790472926,1.54708833506004,20,FALSE,"physiofeedback_PMC12821712","principled",21,NA,NA,NA,NA
"endpoint","published","lm","permutation",0.0226050369997617,0.0434690899935124,0.6026,267,0.332439473789073,0,276,0.339297588650059,0.0666230405282242,0.0679974515123439,-0.0629807597166894,0.108190833716213,0.504488092927306,0.730727421954986,21,FALSE,"physiofeedback_PMC12821712","principled",22,NA,NA,NA,NA
"change","published","lm","permutation",0.0478599847220973,0.0486530891302813,0.3296,256,0.362790057199112,0,276,0.339297588650059,0.141056070903759,0.131921985656377,-0.0479512733532566,0.143671242797451,0.564762387239778,1.60121185236623,22,FALSE,"physiofeedback_PMC12821712","principled",23,NA,NA,NA,NA
"ancova","published","lm","permutation",0.0449713176111462,0.0397793961761315,0.258,255,0.290799616572891,0,276,0.339297588650059,0.132542402644447,0.154647100780732,-0.0333666677407552,0.123309302963048,0.461765647457617,1.95455702923883,23,FALSE,"physiofeedback_PMC12821712","principled",24,NA,NA,NA,NA
"endpoint","none","lm","model",0.0167307652042694,0.0445366568464502,0.707458261965408,274,0.33929758865006,0,276,0.339297588650059,0.0493100032653783,0.0493100032653783,-0.0709467531170469,0.104408283525586,0.516817809817942,0.499283059355213,1,FALSE,"physiofeedback_PMC12821712","defensible",1,"complete_case","none",NA,NA
"change","none","lm","model",0.0453545422523312,0.0484465810281454,0.350041236791507,263,0.359425016282881,0,276,0.339297588650059,0.133671867320897,0.126186381575164,-0.0500379856923157,0.140747070196978,0.56229416969439,1.51440320537198,2,FALSE,"physiofeedback_PMC12821712","defensible",2,"complete_case","none",NA,NA
"ancova","none","lm","model",0.0367937647335037,0.0395531465191934,0.353105162587538,262,0.293392858962572,0,276,0.339297588650059,0.108440985035858,0.125407840066746,-0.0410887426890795,0.114676272156087,0.459080818890868,1.50183018065761,3,FALSE,"physiofeedback_PMC12821712","defensible",3,"complete_case","none",NA,NA
"endpoint","published","lm","model",0.0226050369997617,0.045204063463604,0.617440151013583,267,0.332439473789073,0,276,0.339297588650059,0.0666230405282242,0.0679974515123439,-0.066396729242204,0.111606803241727,0.524623629634805,0.695628793040995,4,FALSE,"physiofeedback_PMC12821712","defensible",4,"complete_case","none",NA,NA
"change","published","lm","model",0.0478599847220973,0.0510200652473603,0.349096711737391,256,0.362790057199112,0,276,0.339297588650059,0.141056070903759,0.131921985656377,-0.0526124976180588,0.148332467062253,0.592238116043791,1.51830132717602,5,FALSE,"physiofeedback_PMC12821712","defensible",5,"complete_case","none",NA,NA
"ancova","published","lm","model",0.0449713176111462,0.0408965823203822,0.272528190073978,255,0.290799616572891,0,276,0.339297588650059,0.132542402644447,0.154647100780732,-0.035566754223118,0.12550938944541,0.474734124428621,1.87552262618517,6,FALSE,"physiofeedback_PMC12821712","defensible",6,"complete_case","none",NA,NA
"endpoint","none","mixed_ri","model",0.0169101784594342,0.0447232888570167,0.712824757645071,10.5836975435934,0.339242684827316,0,276,0.339297588650059,0.0498387817217138,0.0498468477457131,-0.0819995782928184,0.115819935211687,0.583026582333097,0.488380649846422,7,FALSE,"physiofeedback_PMC12821712","defensible",7,"complete_case","none",NA,NA
"change","none","mixed_ri","model",0.0200246466173864,0.0697911767625022,0.778267971407855,14.3681943864935,0.349934976199602,0,276,0.339297588650059,0.0590179455652991,0.0572239072380247,-0.129303475240314,0.169352768475087,0.880219175454927,0.361661108754569,8,FALSE,"physiofeedback_PMC12821712","defensible",8,"complete_case","none",NA,NA
"ancova","none","mixed_ri","model",0.0305183585262819,0.0527548991081082,0.573599930523763,12.0324433126214,0.28826142105236,0,276,0.339297588650059,0.0899456982518008,0.10587042280881,-0.0843903285363948,0.145427045588959,0.677332765728493,0.801883245591318,9,FALSE,"physiofeedback_PMC12821712","defensible",9,"complete_case","none",NA,NA
"endpoint","published","mixed_ri","model",0.0226050369997621,0.045204063463604,0.617440151013581,266.99999999697,0.332439473789074,1,276,0.339297588650059,0.0666230405282256,0.0679974515123453,-0.0663967292422083,0.111606803241733,0.524623629634833,0.695628793040999,4,TRUE,"physiofeedback_PMC12821712","defensible",10,"complete_case","none",NA,NA
"change","published","mixed_ri","model",0.0251193112240193,0.0743413439308516,0.740261542495212,14.5778672682906,0.352800140654858,0,276,0.339297588650059,0.0740332736343922,0.0711998333600251,-0.13373608538494,0.183974707832979,0.936377987482827,0.433893014150827,10,FALSE,"physiofeedback_PMC12821712","defensible",11,"complete_case","none",NA,NA
"ancova","published","mixed_ri","model",0.0405609292322419,0.0525543723591027,0.455515037392982,11.7235748179573,0.286724699425409,0,276,0.339297588650059,0.119543818137992,0.141462975856371,-0.0742453724303215,0.155367230894805,0.676729251860206,1.13442941404512,11,FALSE,"physiofeedback_PMC12821712","defensible",12,"complete_case","none",NA,NA
"endpoint","none","lm","hc3",0.0167307652042694,0.0437437113429249,0.702407452978182,274,0.33929758865006,0,276,0.339297588650059,0.0493100032653783,0.0493100032653783,-0.0693857133166676,0.102847243725206,0.507616213033301,0.509619942044817,12,FALSE,"physiofeedback_PMC12821712","defensible",13,"complete_case","none",NA,NA
"change","none","lm","hc3",0.0453545422523312,0.0520822944740785,0.384644111898907,263,0.359425016282881,0,276,0.339297588650059,0.133671867320897,0.126186381575164,-0.0571967962653141,0.147905880769976,0.604491997279788,1.3784038710331,13,FALSE,"physiofeedback_PMC12821712","defensible",14,"complete_case","none",NA,NA
"ancova","none","lm","hc3",0.0367937647335037,0.0392610116701441,0.34954043180289,262,0.293392858962572,0,276,0.339297588650059,0.108440985035858,0.125407840066746,-0.040513511726394,0.114101041193401,0.455690102411131,1.51646875119568,14,FALSE,"physiofeedback_PMC12821712","defensible",15,"complete_case","none",NA,NA
"endpoint","published","lm","hc3",0.0226050369997617,0.0469147988338699,0.63032021530617,267,0.332439473789073,0,276,0.339297588650059,0.0666230405282242,0.0679974515123439,-0.0697649766487421,0.114975050648265,0.544477866854346,0.665843162038982,15,FALSE,"physiofeedback_PMC12821712","defensible",16,"complete_case","none",NA,NA
"change","published","lm","hc3",0.0478599847220973,0.0550194267113643,0.385183991319729,256,0.362790057199112,0,276,0.339297588650059,0.141056070903759,0.131921985656377,-0.0604883357244171,0.156208305168612,0.638662484325884,1.37638035048993,16,FALSE,"physiofeedback_PMC12821712","defensible",17,"complete_case","none",NA,NA
"ancova","published","lm","hc3",0.0449713176111462,0.0424102026672411,0.289970927783598,255,0.290799616572891,0,276,0.339297588650059,0.132542402644447,0.154647100780732,-0.038547542770927,0.128490177993219,0.492304473570614,1.78601983066408,17,FALSE,"physiofeedback_PMC12821712","defensible",18,"complete_case","none",NA,NA
"endpoint","none","lm","permutation",0.0167307652042694,0.0448870466901767,0.7022,274,0.33929758865006,0,276,0.339297588650059,0.0493100032653783,0.0493100032653783,-0.0716365514566227,0.105098081865162,0.520883847200171,0.510046098668694,18,FALSE,"physiofeedback_PMC12821712","defensible",19,"complete_case","none",NA,NA
"change","none","lm","permutation",0.0453545422523312,0.0476506052653211,0.3434,263,0.359425016282881,0,276,0.339297588650059,0.133671867320897,0.126186381575164,-0.048470689536693,0.139179774041355,0.553055694632669,1.54203805554732,19,FALSE,"physiofeedback_PMC12821712","defensible",20,"complete_case","none",NA,NA
"ancova","none","lm","permutation",0.0367937647335037,0.0391246938494943,0.3422,262,0.293392858962572,0,276,0.339297588650059,0.108440985035858,0.125407840066746,-0.0402450937972808,0.113832623264288,0.45410790472926,1.54708833506004,20,FALSE,"physiofeedback_PMC12821712","defensible",21,"complete_case","none",NA,NA
"endpoint","published","lm","permutation",0.0226050369997617,0.0434690899935124,0.6026,267,0.332439473789073,0,276,0.339297588650059,0.0666230405282242,0.0679974515123439,-0.0629807597166894,0.108190833716213,0.504488092927306,0.730727421954986,21,FALSE,"physiofeedback_PMC12821712","defensible",22,"complete_case","none",NA,NA
"change","published","lm","permutation",0.0478599847220973,0.0486530891302813,0.3296,256,0.362790057199112,0,276,0.339297588650059,0.141056070903759,0.131921985656377,-0.0479512733532566,0.143671242797451,0.564762387239778,1.60121185236623,22,FALSE,"physiofeedback_PMC12821712","defensible",23,"complete_case","none",NA,NA
"ancova","published","lm","permutation",0.0449713176111462,0.0397793961761315,0.258,255,0.290799616572891,0,276,0.339297588650059,0.132542402644447,0.154647100780732,-0.0333666677407552,0.123309302963048,0.461765647457617,1.95455702923883,23,FALSE,"physiofeedback_PMC12821712","defensible",24,"complete_case","none",NA,NA
