"study_id","principled","defensible"
"physiofeedback_PMC12821712","covars","covars|missing"
"mulligan_PMC13092435","covars|model","covars|model|missing"
"lytras_fms_PMC12942207","covars|model","covars|model|missing|transform"
"clusterset_PMC13140343","covars|model","covars|model|missing"
"tereco_PMC8318721","covars|model","covars|model"
"spadi_PMC4880881","covars|model","covars|model|transform"
"tscs_PMC13085461","covars|model","covars|model|missing"
"tdcs_PMC13257960","covars|model","covars|model|missing"
"etip_PMC6886967","covars|model","covars|model"
"phosphatidic_PMC4891923","covars|model","covars|model|missing"
"facial_PMC11164989","covars|model","covars|model|missing"
"gainingmore_PMC10809978","covars|model","covars|model|missing"
"etre_PMC11945196","covars|model","covars|model|missing"
"creatine_PMC11944689","covars|model","covars|model"
"free_PMC6733445","","transform"
"mallorca_PMC8198819","baseline|covars|model","baseline|covars|model|missing"
