"study_id","n_pipelines","n_ids","cor_median","cor_min","dist_median","dist_max","changed_median","changed_max"
"physiofeedback_PMC12821712",2,276,0.964217901310803,0.964217901310803,0.267029786368828,0.267029786368828,1,1
"mulligan_PMC13092435",2,29,0.97026234022385,0.97026234022385,0.239633984368432,0.239633984368432,1,1
"lytras_fms_PMC12942207",1,40,NA,NA,NA,NA,NA,NA
"clusterset_PMC13140343",2,36,0.995000267852753,0.995000267852753,0.0985986886191918,0.0985986886191918,1,1
"tereco_PMC8318721",6,112,0.961274265749818,0.961274265749818,0.277055838291871,0.277055838291871,1,1
"spadi_PMC4880881",3,71,1,1,0,0,0,0
"tscs_PMC13085461",2,20,0.991996053704143,0.991996053704143,0.123318684562106,0.123318684562106,1,1
"tdcs_PMC13257960",2,20,0.999656344087184,0.999656344087184,0.0255528126504915,0.0255528126504915,1,1
"etip_PMC6886967",6,59,0.994601323261175,0.994601323261175,0.103025955402039,0.103025955402039,1,1
"phosphatidic_PMC4891923",2,18,0.996193416582239,0.996193416582239,0.0847951244025072,0.0847951244025072,1,1
"facial_PMC11164989",4,23,0.993159951251515,0.993159951251515,0.114391042696861,0.114391042696861,1,1
"gainingmore_PMC10809978",2,39,0.995774528631301,0.995774528631301,0.0907427787649091,0.0907427787649091,1,1
"etre_PMC11945196",2,16,0.999702481216263,0.999702481216263,0.0236188001284186,0.0236188001284186,1,1
"creatine_PMC11944689",6,63,0.99259443095037,0.99259443095037,0.120731274610655,0.120731274610655,1,1
"free_PMC6733445",3,214,1,1,0,0,0,0
"mallorca_PMC8198819",4,263,0.95999773259283,0.95999773259283,0.282312477694837,0.282312477694837,1,1
