"study_id","class","spec_fully_matched","reason","published_est","our_est","rel_diff","abs_diff_sd","abs_diff_se","n_tied","tie_range_d","published_ci_lo","published_ci_hi","our_ci_lo","our_ci_hi","published_p","our_p","nodes_matched","nodes_scored","spec_baseline","spec_covars","spec_missing","spec_model","spec_inference","spec_transform","published_d","pct_principled","pct_defensible","inside_principled","inside_defensible"
"clusterset_PMC13140343","no_point_estimate",NA,"Paper berichtet keinen Punktschaetzer der Gruppendifferenz (nur p = 0.352)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"creatine_PMC11944689","full",TRUE,"",0.51,0.507348905795354,0.00519822393067852,0.000229240516394732,NA,1,0,NA,NA,0.0568595924137595,0.957838219176949,0.03,0.0279430683615745,6,6,"ancova","none","complete_case","lm","model","none",0.0440997770491987,0.333333333333333,0.604166666666667,TRUE,TRUE
"etip_PMC6886967","full",TRUE,"",2.6,2.59675765219028,0.00124705684989226,0.000239227220124648,NA,1,0,-3.77,8.97,-3.77442636877633,8.96794167315689,0.42,0.417022409471116,6,6,"ancova","none","complete_case","lm","model","none",0.191833451815221,0.666666666666667,0.8125,TRUE,TRUE
"etre_PMC11945196","full",FALSE,"publizierte Spezifikation nur zu 5/6 Knoten abbildbar",-2.13,-2.12625,0.00176056338028155,0.00159335702676545,0.00781249999999937,1,0,-3.07,-1.18,-3.06460676008727,-1.18789323991274,0.001,0.000252519768477257,5,6,"change","none","complete_case","lm","model","none",-0.905026791202848,0.333333333333333,0.5,TRUE,TRUE
"facial_PMC11164989","no_point_estimate",NA,"Paper berichtet keinen Punktschaetzer der Gruppendifferenz (nur p = 0.002)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"free_PMC6733445","major_discrepancy",FALSE,"publizierte Spezifikation nur zu 5/6 Knoten abbildbar",0.57,0.312628985515607,0.451528095586654,0.061694672433024,NA,2,0.00641955186928109,-0.64,1.78,-1.82519211627837,2.45045008730958,0.354,0.685369634612367,5,6,"ancova","published","mi","mixed_ri","model","none",0.136635290330863,1,0.96875,FALSE,TRUE
"gainingmore_PMC10809978","major_discrepancy",FALSE,"publizierte Spezifikation nur zu 5/6 Knoten abbildbar",-0.63,-0.492460317460317,0.218316956412195,0.016766357076202,NA,1,0,-2.8,1.5,-2.72494991723695,1.74002928231632,0.273,0.657513953779686,5,6,"change","none","complete_case","lm","model","none",-0.0767982357016106,0.666666666666667,0.666666666666667,TRUE,TRUE
"lytras_fms_PMC12942207","full",TRUE,"",-1.2,-1.2,0,0,NA,3,0.229085727567153,-2.18,-0.22,-2.17805907760584,-0.221940922394159,0.018,0.0175259456575388,5,5,"endpoint","none","complete_case","lm","model","none",-0.785436780230239,0.666666666666667,0.666666666666667,TRUE,TRUE
"mallorca_PMC8198819","minor_discrepancy",TRUE,"",-0.7,-0.67292206590152,0.0386827629978285,0.0123424547712484,NA,1,0,-1.24,-0.17,-1.29016038785491,-0.0556837439481285,0.01,0.0329611247974334,6,6,"endpoint","none","mi","lm","model","none",-0.319068593211434,0,0,FALSE,FALSE
"mulligan_PMC13092435","no_point_estimate",NA,"Paper berichtet keinen Punktschaetzer der Gruppendifferenz (nur p = 0.383)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"phosphatidic_PMC4891923","no_point_estimate",NA,"Paper berichtet keinen Punktschaetzer der Gruppendifferenz (nur p = 0.041)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"physiofeedback_PMC12821712","minor_discrepancy",FALSE,"publizierte Spezifikation nur zu 4/5 Knoten abbildbar",0.02,0.0186026908678616,0.06986545660692,0.00350408272516281,NA,2,0.0535823028167111,-0.08,0.12,-0.123445200958151,0.160650582693874,0.678,0.780553881348693,4,5,"ancova","published","complete_case","mixed_ri","model","log",0.0501547244567173,NA,0.454545454545455,NA,TRUE
"spadi_PMC4880881","minor_discrepancy",TRUE,"",-20.8,-22.2410077396013,0.0692792182500625,0.0631656602112521,NA,1,0,-28.9,-12.7,-31.2419979076111,-13.2400175715915,NA,5.55174486030887e-06,6,6,"ancova","none","complete_case","lm","model","none",-0.911754806228564,0.666666666666667,0.75,TRUE,TRUE
"tdcs_PMC13257960","full",TRUE,"",6.85,6.84840560151008,0.000232758903637963,0.000327194585699121,NA,1,0,1.92,11.77,2.26998485496857,11.4268263480516,0.01,0.00562941428061229,6,6,"endpoint","none","complete_case","lm","model","none",1.40572317786839,0.333333333333333,0.5,TRUE,TRUE
"tereco_PMC8318721","minor_discrepancy",FALSE,"publizierte Spezifikation nur zu 5/6 Knoten abbildbar",65.45,63.0378323548664,0.0368551206284736,0.0308856487637595,NA,1,0,43.8,87.1,44.5888454812406,81.4868192284923,NA,6.86515630220257e-10,5,6,"ancova","strat","mi","lm","model","none",0.838028698240042,0.5,0.802083333333333,TRUE,TRUE
"tscs_PMC13085461","full",TRUE,"",7.67,7.66613707905209,0.000503640280040384,0.000491351641697774,NA,1,0,5.14,10.19,5.14449544072962,10.1877787173746,NA,6.41389528588017e-06,6,6,"ancova","none","complete_case","lm","model","none",0.975600366313781,0.333333333333333,0.166666666666667,TRUE,TRUE
