"study_id","status","n_spec","n_unique","sec","msg"
"physiofeedback_PMC12821712","ok",248,233,92.8,""
"mulligan_PMC13092435","ok",39,39,11.5,""
"lytras_fms_PMC12942207","ok",30,30,8.9,""
"clusterset_PMC13140343","ok",78,78,26.8,""
"tereco_PMC8318721","ok",246,246,72,""
"spadi_PMC4880881","ok",45,45,12,""
"tscs_PMC13085461","ok",39,39,11.6,""
"tdcs_PMC13257960","ok",75,71,22.2,""
"etip_PMC6886967","ok",96,90,25.9,""
"phosphatidic_PMC4891923","ok",39,39,11.6,""
"facial_PMC11164989","ok",60,58,14.4,""
"gainingmore_PMC10809978","ok",39,39,153.8,""
"etre_PMC11945196","ok",39,39,12.9,""
"creatine_PMC11944689","ok",69,69,19.7,""
"free_PMC6733445","ok",399,362,130.9,""
"mallorca_PMC8198819","ok",37,35,11.3,""
