"study_id","range_full","n_spec","range_fixed"
"clusterset_PMC13140343",0.015857885590291,6,0.015857885590291
"creatine_PMC11944689",0.212473894765199,3,0
"etip_PMC6886967",0.244336174686799,12,0.0372297399335
"etre_PMC11945196",0,3,0
"facial_PMC11164989",0.11039501846294,6,0.00597739151623
"free_PMC6733445",0.147820333407712,48,0.108505572262411
"gainingmore_PMC10809978",0.407481492980654,3,0
"lytras_fms_PMC12942207",0.229085727567153,3,0
"mallorca_PMC8198819",0.079450612000072,12,0.079450612000072
"mulligan_PMC13092435",0.203202776730529,3,0
"phosphatidic_PMC4891923",0.0419399667683831,3,0
"physiofeedback_PMC12821712",0.0346514004837741,26,0.0346514004837741
"spadi_PMC4880881",0.097514069057487,3,0
"tdcs_PMC13257960",1.07845170087248,9,1.03446267995888
"tereco_PMC8318721",0.151748721603796,24,0.054348232451509
"tscs_PMC13085461",0.386317345758336,3,0
