"study_id","statistic","published","recomputed","note"
"mulligan_PMC13092435","Group x Time F, p (RM-ANOVA, 3 arms, n = 43)","F = 0.983, p = 0.383","F(2,40) = 0.983, p = 0.383","SPSS RM-ANOVA; Change 1 Zeitpunkt = univariate Loesung"
"mulligan_PMC13092435","Group main effect F, p","not reported as number","F(2,40) = 0.290, p = 0.750",""
"mulligan_PMC13092435","within-group means pre -> post","Mulligan 4.79 -> 2.36; Maitland 5.07 -> 2.14; Control ?","Mulligan 4.79 -> 2.36 (n=14); Maitland 5.07 -> 2.14 (n=14); Control 5.07 -> 2.80 (n=15)",""
"facial_PMC11164989","Mann-Whitney U p (SFGS composite change, day 20 - baseline)","p = 0.002","p = 0.0020 (W = 114)","exakter Test; asymptotisch mit Korrektur ergaebe p = 0.0033"
"facial_PMC11164989","median (IQR) change per group","Exp 59.0 (42.5-63.0); Conv 24.0 (9.0-32.0)","Experimental 59.0 (42.5-63.0), n=12; Conventional 24.0 (9.0-32.0), n=11",""
"clusterset_PMC13140343","Group x Time interaction p (LMM, Type III, Satterthwaite)","p = 0.352","F(1,34.0) = 0.890, p = 0.352","wie Methods 2.4.2"
"clusterset_PMC13140343","Time main effect F, p","F(1,34) = 80.67, p < 0.001","F(1,34.0) = 80.67, p = 1.7e-10",""
"clusterset_PMC13140343","Sex main effect F, p","F(1,33) = 95.13, p < 0.001","F(1,33.0) = 95.13, p = 3e-11",""
"phosphatidic_PMC4891923","Group x Time interaction F, p (2x2 mixed ANOVA, n = 18)","F(1,16) = 33.30, p = 0.041 (Results); 'main effect F(1,16) = 33.30, p < 0.001' (Abstract)","F(1,16) = 4.95, p = 0.0408","Paper intern widerspruechlich: F = 33.30 bei df (1,16) impliziert p < 0.001, p = 0.041 impliziert F = 4.9"
"phosphatidic_PMC4891923","Time main effect F, p","not separately reported","F(1,16) = 30.89, p = 4.3e-05",""
"phosphatidic_PMC4891923","means pre/post per group","MT 60.8+/-9.5 -> 62.7+/-10.2; PLA 61.2+/-9.7 -> 62.0+/-9.7","MT 60.8+/-9.6 -> 62.7+/-10.2 (n=8); PLA 61.2+/-9.6 -> 62.0+/-9.7 (n=10)",""
