"study_id","d_median_defensible","d_median_principled","d_range_defensible","d_range_principled","share_same_sign_defensible","share_same_sign_principled","n_spec_defensible","n_spec_principled","range_ratio_def_vs_princ"
"clusterset_PMC13140343",0.0643600640713038,0.0593019441315508,0.126185751888446,0.117861752549218,1,1,36,18,1.07062511085394
"creatine_PMC11944689",0.0431176688523638,0.0445591169729494,0.263350952878799,0.212473894765199,1,1,48,9,1.23945086604556
"etip_PMC6886967",0.132210421271067,0.191594224595097,0.269696159051586,0.208864012738719,0.9375,1,48,9,1.2912524063634
"etre_PMC11945196",-0.915676139617686,-0.903433434176083,0.385651819601071,0.366244826724201,1,1,18,9,1.05298912492622
"facial_PMC11164989",1.5058550596778,1.49482166205522,0.24881034024326,0.10061833786106,1,1,30,9,2.47281306303064
"free_PMC6733445",0.0919695737551791,0.0910923357729172,0.197887084169776,0.0606977386446467,0.947916666666667,1,96,35,3.26020521667702
"gainingmore_PMC10809978",-0.101920593423189,-0.0900509472501619,0.456732704552234,0.407481492980654,1,1,18,9,1.12086735819906
"lytras_fms_PMC12942207",-0.883681732791487,-0.883681732791487,0.229085727567153,0.229085727567153,1,1,9,9,1
"mallorca_PMC8198819",-0.301053418239204,-0.315217401527501,0.034011488504101,0,1,1,10,3,Inf
"mulligan_PMC13092435",-0.32471090713121,-0.219613272215859,0.294396002872186,0.203202776730529,1,1,18,9,1.44877942914427
"phosphatidic_PMC4891923",0.10114142616523,0.104627777210148,0.0495315622741983,0.0419399667683831,1,1,18,9,1.18101100431816
"physiofeedback_PMC12821712",0.0744476674010598,0.108440985035858,0.160447769863474,0.0917460676383807,0.955555555555556,1,45,23,1.74882448908745
"spadi_PMC4880881",-0.952179832359425,-0.974920466439817,0.131850988843339,0.097514069057487,1,1,24,9,1.3521227256511
"tdcs_PMC13257960",1.41454868774579,1.42370139220887,0.08656314136039,0.0569436079624499,1,1,18,9,1.52015554436719
"tereco_PMC8318721",0.758344971599062,0.842797691973665,0.379677379736434,0.120539930277996,1,1,96,18,3.1498058681534
"tscs_PMC13085461",1.08620595082158,1.0301552645146,0.521911392296816,0.386317345758336,1,1,18,9,1.35099134954013
