"quantity","k","n","prop","wilson_lo","wilson_hi"
"reproduced full",11,12,0.916666666666667,0.646114078201405,0.985135290549226
"reproduced full or minor",11,12,0.916666666666667,0.646114078201405,0.985135290549226
"published inside principled range",9,11,0.818181818181818,0.523013862421755,0.948633399329
"published inside defensible range",11,12,0.916666666666667,0.646114078201405,0.985135290549226
"sign stable principled",16,16,1,0.80638658172728,1
"sign stable defensible",13,16,0.8125,0.569906401315418,0.934085212264132
"range includes 0 principled",0,16,0,0,0.19361341827272
"spec fully representable",7,12,0.583333333333333,0.319507335655373,0.806742538094753
"reproduced full or minor, denominator 48 assessed RCTs",11,48,0.229166666666667,0.13307691028989,0.365395359084512
"reproduced full or minor, denominator 152 with link",11,152,0.0723684210526316,0.0408866047948996,0.124933047980739
"included, denominator 48",16,48,0.333333333333333,0.216766013708968,0.474601536675279
"included, denominator 152",16,152,0.105263157894737,0.0658372721318438,0.164150099661054
