"node","share","share_incl_resid","study_id","grid_type","target"
"baseline",81.8953988494807,70.5869852290296,"physiofeedback_PMC12821712","principled","d"
"covars",5.20142110871245,4.48319002201156,"physiofeedback_PMC12821712","principled","d"
"model",12.9031800418069,11.1214621555544,"physiofeedback_PMC12821712","principled","d"
"inference",0,0,"physiofeedback_PMC12821712","principled","d"
"baseline",100,100,"mulligan_PMC13092435","principled","d"
"inference",4.16958525614122e-30,4.16958525614122e-30,"mulligan_PMC13092435","principled","d"
"baseline",100,100,"lytras_fms_PMC12942207","principled","d"
"inference",7.98338082570155e-29,7.98338082570155e-29,"lytras_fms_PMC12942207","principled","d"
"baseline",99.1777752386206,98.7920818005022,"clusterset_PMC13140343","principled","d"
"covars",0.822224761379396,0.819027203313998,"clusterset_PMC13140343","principled","d"
"inference",0,0,"clusterset_PMC13140343","principled","d"
"baseline",97.1883198050755,97.1331532271092,"tereco_PMC8318721","principled","d"
"covars",2.81168019492452,2.81008421327775,"tereco_PMC8318721","principled","d"
"inference",0,0,"tereco_PMC8318721","principled","d"
"baseline",100,100,"spadi_PMC4880881","principled","d"
"inference",1.16697033377898e-30,1.16697033377898e-30,"spadi_PMC4880881","principled","d"
"baseline",100,100,"tscs_PMC13085461","principled","d"
"inference",2.70533118399947e-30,2.70533118399947e-30,"tscs_PMC13085461","principled","d"
"baseline",100,100,"tdcs_PMC13257960","principled","d"
"inference",2.68415609799961e-28,2.68415609799961e-28,"tdcs_PMC13257960","principled","d"
"baseline",100,100,"etip_PMC6886967","principled","d"
"inference",2.08408226208762e-32,2.08408226208762e-32,"etip_PMC6886967","principled","d"
"baseline",100,100,"phosphatidic_PMC4891923","principled","d"
"inference",5.57494954382584e-30,5.57494954382584e-30,"phosphatidic_PMC4891923","principled","d"
"baseline",100,100,"facial_PMC11164989","principled","d"
"inference",8.77913567124021e-29,8.77913567124021e-29,"facial_PMC11164989","principled","d"
"baseline",100,100,"gainingmore_PMC10809978","principled","d"
"inference",8.21187455118124e-31,8.21187455118124e-31,"gainingmore_PMC10809978","principled","d"
"baseline",100,100,"etre_PMC11945196","principled","d"
"inference",1.46986043150206e-29,1.46986043150206e-29,"etre_PMC11945196","principled","d"
"baseline",100,100,"creatine_PMC11944689","principled","d"
"inference",4.2306482226681e-30,4.2306482226681e-30,"creatine_PMC11944689","principled","d"
"baseline",38.499249675291,29.4462091785444,"free_PMC6733445","principled","d"
"covars",55.2678764765505,42.2717186778565,"free_PMC6733445","principled","d"
"model",6.23287384815851,4.76722296315681,"free_PMC6733445","principled","d"
"inference",0,0,"free_PMC6733445","principled","d"
"baseline",36.641470756261,32.1643607811331,"physiofeedback_PMC12821712","defensible","d"
"covars",2.89751621186852,2.54347751015962,"physiofeedback_PMC12821712","defensible","d"
"model",16.7732823191271,14.7238059188445,"physiofeedback_PMC12821712","defensible","d"
"inference",0,0,"physiofeedback_PMC12821712","defensible","d"
"transform",43.6877307127433,38.3496596438765,"physiofeedback_PMC12821712","defensible","d"
"baseline",42.3552822896221,38.9854739519932,"mulligan_PMC13092435","defensible","d"
"inference",0,0,"mulligan_PMC13092435","defensible","d"
"transform",57.6447177103779,53.0584739207032,"mulligan_PMC13092435","defensible","d"
"baseline",100,100,"lytras_fms_PMC12942207","defensible","d"
"inference",7.98338082570155e-29,7.98338082570155e-29,"lytras_fms_PMC12942207","defensible","d"
"baseline",98.2205221454537,97.3519534721872,"clusterset_PMC13140343","defensible","d"
"covars",1.03992169653865,1.03072562031615,"clusterset_PMC13140343","defensible","d"
"inference",0,0,"clusterset_PMC13140343","defensible","d"
"transform",0.739556158007653,0.733016228297083,"clusterset_PMC13140343","defensible","d"
"baseline",45.3881341555069,44.2565207109471,"tereco_PMC8318721","defensible","d"
"covars",0.0166474730789056,0.0162324195697771,"tereco_PMC8318721","defensible","d"
"inference",0,0,"tereco_PMC8318721","defensible","d"
"missing",8.00442335544193,7.80485769244435,"tereco_PMC8318721","defensible","d"
"transform",46.5907950159722,45.4291969240091,"tereco_PMC8318721","defensible","d"
"baseline",76.2866388541991,75.8873428698657,"spadi_PMC4880881","defensible","d"
"inference",0,0,"spadi_PMC4880881","defensible","d"
"missing",23.7133611458009,23.5892417715201,"spadi_PMC4880881","defensible","d"
"baseline",95.4237480528031,89.707400961857,"tscs_PMC13085461","defensible","d"
"inference",0,0,"tscs_PMC13085461","defensible","d"
"transform",4.57625194719685,4.30211217549851,"tscs_PMC13085461","defensible","d"
"baseline",65.0866524693193,64.9197073536164,"tdcs_PMC13257960","defensible","d"
"inference",0,0,"tdcs_PMC13257960","defensible","d"
"transform",34.9133475306807,34.8237959464165,"tdcs_PMC13257960","defensible","d"
"baseline",17.3354558506333,10.1394004848354,"etip_PMC6886967","defensible","d"
"inference",0,0,"etip_PMC6886967","defensible","d"
"missing",6.91972156449504,4.04730217598539,"etip_PMC6886967","defensible","d"
"transform",75.7448225848717,44.3026764025222,"etip_PMC6886967","defensible","d"
"baseline",98.3919921557689,98.221972508199,"phosphatidic_PMC4891923","defensible","d"
"inference",0,0,"phosphatidic_PMC4891923","defensible","d"
"transform",1.60800784423109,1.60522923470225,"phosphatidic_PMC4891923","defensible","d"
"baseline",98.7524277170892,79.4486927415343,"facial_PMC11164989","defensible","d"
"inference",0,0,"facial_PMC11164989","defensible","d"
"missing",1.24047207406897,0.997989486896478,"facial_PMC11164989","defensible","d"
"transform",0.00710020884178345,0.00571228802888418,"facial_PMC11164989","defensible","d"
"baseline",99.8947112315426,99.5823111470319,"gainingmore_PMC10809978","defensible","d"
"inference",0,0,"gainingmore_PMC10809978","defensible","d"
"transform",0.105288768457368,0.104959499572573,"gainingmore_PMC10809978","defensible","d"
"baseline",99.6786908110523,99.6582769857666,"etre_PMC11945196","defensible","d"
"inference",0,0,"etre_PMC11945196","defensible","d"
"transform",0.321309188947699,0.321243386020389,"etre_PMC11945196","defensible","d"
"baseline",97.8610042369258,95.4217117305149,"creatine_PMC11944689","defensible","d"
"inference",0,0,"creatine_PMC11944689","defensible","d"
"missing",0.755180149581931,0.736356458835762,"creatine_PMC11944689","defensible","d"
"transform",1.38381561349226,1.34932249662138,"creatine_PMC11944689","defensible","d"
"baseline",49.9135032335299,9.94669249125902,"free_PMC6733445","defensible","d"
"covars",6.66195752668071,1.32758549520539,"free_PMC6733445","defensible","d"
"model",40.5546174843627,8.08166694552135,"free_PMC6733445","defensible","d"
"inference",1.13004461929406,0.22519369712301,"free_PMC6733445","defensible","d"
"missing",1.73987713613264,0.346720260541805,"free_PMC6733445","defensible","d"
"inference",0,0,"mallorca_PMC8198819","defensible","d"
"missing",17.3679394125772,17.143289033182,"mallorca_PMC8198819","defensible","d"
"transform",82.6320605874228,81.563233519329,"mallorca_PMC8198819","defensible","d"
"baseline",38.9499706744264,33.713475546539,"physiofeedback_PMC12821712","principled","ci_width_d"
"covars",2.31035624343837,1.99974832761797,"physiofeedback_PMC12821712","principled","ci_width_d"
"model",57.5449162541486,49.808487487146,"physiofeedback_PMC12821712","principled","ci_width_d"
"inference",1.19475682798661,1.0341318467496,"physiofeedback_PMC12821712","principled","ci_width_d"
"baseline",96.760830567067,96.3118927315095,"mulligan_PMC13092435","principled","ci_width_d"
"inference",3.23916943293298,3.2241407719996,"mulligan_PMC13092435","principled","ci_width_d"
"baseline",75.8384061614539,73.8625802685666,"lytras_fms_PMC12942207","principled","ci_width_d"
"inference",24.1615938385461,23.5321093182888,"lytras_fms_PMC12942207","principled","ci_width_d"
"baseline",91.9211906155687,79.3627216116537,"clusterset_PMC13140343","principled","ci_width_d"
"covars",8.02818365954245,6.93135609485439,"clusterset_PMC13140343","principled","ci_width_d"
"inference",0.0506257248888028,0.0437091304391539,"clusterset_PMC13140343","principled","ci_width_d"
"baseline",67.8450976466504,66.3036598254955,"tereco_PMC8318721","principled","ci_width_d"
"covars",16.6478571812102,16.2696185524746,"tereco_PMC8318721","principled","ci_width_d"
"inference",15.5070451721394,15.1547257452122,"tereco_PMC8318721","principled","ci_width_d"
"baseline",61.3958507148876,59.9741804510358,"spadi_PMC4880881","principled","ci_width_d"
"inference",38.6041492851124,37.7102391843337,"spadi_PMC4880881","principled","ci_width_d"
"baseline",86.4046879745109,86.0978658732214,"tscs_PMC13085461","principled","ci_width_d"
"inference",13.5953120254891,13.5470352212887,"tscs_PMC13085461","principled","ci_width_d"
"baseline",19.6794921744364,19.3673051675863,"tdcs_PMC13257960","principled","ci_width_d"
"inference",80.3205078255637,79.04633780611,"tdcs_PMC13257960","principled","ci_width_d"
"baseline",66.3979130255332,59.459390827082,"etip_PMC6886967","principled","ci_width_d"
"inference",33.6020869744668,30.0906991045353,"etip_PMC6886967","principled","ci_width_d"
"baseline",99.8712685679755,99.7302166181821,"phosphatidic_PMC4891923","principled","ci_width_d"
"inference",0.128731432024476,0.128549619780103,"phosphatidic_PMC4891923","principled","ci_width_d"
"baseline",23.8099246959206,23.4546677127546,"facial_PMC11164989","principled","ci_width_d"
"inference",76.1900753040794,75.0532780800063,"facial_PMC11164989","principled","ci_width_d"
"baseline",99.7970621649882,99.7302565354646,"gainingmore_PMC10809978","principled","ci_width_d"
"inference",0.202937835011826,0.202801985423391,"gainingmore_PMC10809978","principled","ci_width_d"
"baseline",92.2599567685063,91.8241017330493,"etre_PMC11945196","principled","ci_width_d"
"inference",7.74004323149371,7.70347767331156,"etre_PMC11945196","principled","ci_width_d"
"baseline",99.9834618048507,99.947006156016,"creatine_PMC11944689","principled","ci_width_d"
"inference",0.0165381951493422,0.0165321650457247,"creatine_PMC11944689","principled","ci_width_d"
"baseline",26.7029790203185,24.7634881863129,"free_PMC6733445","principled","ci_width_d"
"covars",1.44896440403033,1.34372321808329,"free_PMC6733445","principled","ci_width_d"
"model",71.8471511444672,66.6287486962578,"free_PMC6733445","principled","ci_width_d"
"inference",0.000905431183918303,0.000839667904072401,"free_PMC6733445","principled","ci_width_d"
"baseline",29.0520835933671,25.521536845824,"physiofeedback_PMC12821712","defensible","ci_width_d"
"covars",1.5794813844267,1.38753532841763,"physiofeedback_PMC12821712","defensible","ci_width_d"
"model",68.581280407619,60.2469585092494,"physiofeedback_PMC12821712","defensible","ci_width_d"
"inference",0.767517789297225,0.674245393671066,"physiofeedback_PMC12821712","defensible","ci_width_d"
"transform",0.0196368252900109,0.017250465308741,"physiofeedback_PMC12821712","defensible","ci_width_d"
"baseline",79.813568072758,58.7103907418294,"mulligan_PMC13092435","defensible","ci_width_d"
"inference",3.62986488199515,2.67010723499679,"mulligan_PMC13092435","defensible","ci_width_d"
"transform",16.5565670452468,12.1789132354492,"mulligan_PMC13092435","defensible","ci_width_d"
"baseline",75.8384061614539,73.8625802685666,"lytras_fms_PMC12942207","defensible","ci_width_d"
"inference",24.1615938385461,23.5321093182888,"lytras_fms_PMC12942207","defensible","ci_width_d"
"baseline",89.6751118399801,74.3663789352126,"clusterset_PMC13140343","defensible","ci_width_d"
"covars",10.1521227769599,8.41902055026613,"clusterset_PMC13140343","defensible","ci_width_d"
"inference",0.067990730970715,0.0563838099524517,"clusterset_PMC13140343","defensible","ci_width_d"
"transform",0.104774652089213,0.0868882270699072,"clusterset_PMC13140343","defensible","ci_width_d"
"baseline",77.2567150404216,73.686680765372,"tereco_PMC8318721","defensible","ci_width_d"
"covars",9.78146331251505,9.32946170634336,"tereco_PMC8318721","defensible","ci_width_d"
"inference",5.01300299877607,4.78135203462113,"tereco_PMC8318721","defensible","ci_width_d"
"missing",0.478277359555911,0.456176153651654,"tereco_PMC8318721","defensible","ci_width_d"
"transform",7.47054128873142,7.12532743334046,"tereco_PMC8318721","defensible","ci_width_d"
"baseline",68.2290076194563,66.6517140008302,"spadi_PMC4880881","defensible","ci_width_d"
"inference",31.4810837459318,30.7533153929632,"spadi_PMC4880881","defensible","ci_width_d"
"missing",0.289908634611821,0.283206631236538,"spadi_PMC4880881","defensible","ci_width_d"
"baseline",82.9326100254365,81.3657855172762,"tscs_PMC13085461","defensible","ci_width_d"
"inference",13.7912210674727,13.5306670687581,"tscs_PMC13085461","defensible","ci_width_d"
"transform",3.27616890709082,3.21427308908958,"tscs_PMC13085461","defensible","ci_width_d"
"baseline",20.5150601190398,20.2714895416029,"tdcs_PMC13257960","defensible","ci_width_d"
"inference",79.4844089640592,78.5407089077948,"tdcs_PMC13257960","defensible","ci_width_d"
"transform",0.000530916900988038,0.000524613447067148,"tdcs_PMC13257960","defensible","ci_width_d"
