"node","median_share","iqr_lo","iqr_hi","dominant_in","n_studies","top_in","grid_type","target","n_studies_total"
"baseline",100,99.5888876193103,100,14,15,14,"principled","d",15
"covars",4.00655065181849,2.31431633653824,17.718034950672,1,4,1,"principled","d",15
"model",9.56802694498271,7.90045039657061,11.2356034933948,0,2,0,"principled","d",15
"inference",2.70533118399947e-30,1.04204113104381e-32,1.01367769294232e-29,0,15,0,"principled","d",15
"baseline",95.4237480528031,47.6508186945184,98.5722099364291,10,15,11,"defensible","d",16
"transform",4.57625194719685,0.739556158007653,46.5907950159722,3,13,5,"defensible","d",16
"model",28.6639499017449,22.718616110436,34.6092836930538,0,2,0,"defensible","d",16
"missing",6.91972156449504,1.4901746051008,12.6861813840096,0,7,0,"defensible","d",16
"covars",1.96871895420359,0.784103140673714,3.83862654057157,0,4,0,"defensible","d",16
"inference",0,0,0,0,16,0,"defensible","d",16
"baseline",75.8384061614539,50.172910694657,94.5103936677866,11,15,11,"principled","ci_width_d",15
"model",64.6960336993079,61.1204749767283,68.2715924218876,2,2,2,"principled","ci_width_d",15
"inference",7.74004323149371,0.165834633518151,28.8818404065065,2,15,2,"principled","ci_width_d",15
"covars",5.16926995149041,2.09500828358636,10.1831020399594,0,4,0,"principled","ci_width_d",15
"baseline",77.2567150404216,43.152896179279,90.7295314499194,11,15,11,"defensible","ci_width_d",16
"model",75.7618512558268,72.1715658317229,79.3521366799308,2,2,2,"defensible","ci_width_d",16
"missing",1.10990842444312,0.384092997083866,49.6927461214862,2,7,2,"defensible","ci_width_d",16
"inference",2.60503574711288,0.135840058076098,10.9014124583315,1,16,1,"defensible","ci_width_d",16
"covars",6.02591411871344,2.09764403979054,9.87412817862627,0,4,0,"defensible","ci_width_d",16
"transform",0.104774652089213,0.0174589925744202,3.27616890709082,0,13,0,"defensible","ci_width_d",16
